time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 62, 142, 100, 977, 7, 26, 2.2903225806451615, 0
2, 1, 94, 279, 99, 1094, 11, 28, 2.9680851063829787, 0
4, 2, 126, 425, 100, 1094, 11, 28, 3.78, 0
5, 3, 158, 537, 100, 1131, 11, 29, 4.11, 0
6, 4, 190, 649, 100, 1131, 11, 29, 3.86, 0
7, 5, 222, 755, 99, 1131, 11, 29, 3.43, 0
8, 6, 254, 868, 99, 1131, 11, 29, 3.46, 0
10, 7, 286, 980, 100, 1131, 11, 29, 3.45, 0
11, 8, 318, 1087, 100, 1131, 11, 29, 3.44, 0
12, 9, 350, 1192, 99, 1131, 11, 29, 3.45, 0
12, 10, 382, 1288, 100, 1131, 11, 29, 3.19, 0
13, 11, 414, 1373, 100, 1131, 11, 29, 2.93, 0
14, 12, 446, 1457, 99, 1131, 11, 29, 2.72, 0
14, 13, 478, 1555, 100, 1131, 11, 29, 2.85, 0
15, 14, 510, 1644, 99, 1131, 11, 29, 2.81, 0
15, 15, 542, 1728, 99, 1131, 11, 29, 2.8, 0
16, 16, 574, 1813, 99, 1131, 11, 29, 2.68, 0
17, 17, 606, 1894, 99, 1131, 11, 29, 2.7, 0
17, 18, 638, 1960, 99, 1131, 11, 29, 2.4, 0
18, 19, 670, 2057, 99, 1131, 11, 29, 2.55, 0
18, 20, 702, 2129, 98, 1131, 11, 29, 2.41, 0
19, 21, 734, 2235, 99, 1131, 11, 29, 2.81, 0
19, 22, 766, 2326, 100, 1131, 11, 29, 2.82, 0
20, 23, 798, 2426, 99, 1131, 11, 29, 3.03, 0
20, 24, 830, 2541, 99, 1131, 11, 29, 3.28, 0
21, 25, 862, 2639, 99, 1131, 11, 29, 3.27, 0
22, 26, 894, 2736, 99, 1131, 11, 29, 3.22, 0
22, 27, 926, 2841, 99, 1131, 11, 29, 3.21, 0
23, 28, 958, 2940, 99, 1131, 11, 29, 3.16, 0
23, 29, 990, 3040, 99, 1131, 11, 29, 3.14, 0
24, 30, 1022, 3143, 99, 1131, 11, 29, 3.14, 0
24, 31, 1054, 3237, 98, 1131, 11, 29, 3.06, 0
25, 32, 1086, 3335, 100, 1131, 11, 29, 3.08, 0
25, 33, 1118, 3424, 99, 1131, 11, 29, 2.91, 0
26, 34, 1150, 3526, 98, 1131, 11, 29, 3.03, 0
26, 35, 1182, 3616, 100, 1131, 11, 29, 2.99, 0
27, 36, 1214, 3703, 99, 1131, 11, 29, 2.93, 0
27, 37, 1246, 3790, 99, 1131, 11, 29, 2.69, 0
28, 38, 1278, 3864, 100, 1131, 11, 29, 2.55, 0
28, 39, 1310, 3947, 99, 1131, 11, 29, 2.55, 0
29, 40, 1342, 4040, 99, 1131, 11, 29, 2.64, 0
29, 41, 1374, 4132, 99, 1131, 11, 29, 2.81, 0
30, 42, 1406, 4221, 99, 1131, 11, 29, 2.86, 0
30, 43, 1438, 4291, 99, 1131, 11, 29, 2.69, 0
