time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 60, 327, 100, 1096, 7, 28, 5.45, 0
2, 1, 90, 493, 100, 1099, 8, 28, 5.477777777777778, 0
2, 2, 120, 626, 100, 1099, 8, 28, 5.37, 0
3, 3, 150, 748, 100, 1099, 8, 28, 4.71, 0
3, 4, 180, 841, 100, 1120, 8, 29, 4.04, 0
3, 5, 210, 977, 100, 1123, 9, 29, 3.94, 0
4, 6, 240, 1076, 100, 1127, 9, 29, 3.6, 0
4, 7, 270, 1177, 100, 1127, 9, 29, 3.73, 0
4, 8, 300, 1265, 99, 1132, 9, 29, 3.27, 0
5, 9, 330, 1369, 99, 1132, 9, 29, 3.21, 0
5, 10, 360, 1469, 99, 1132, 9, 29, 3.2, 0
5, 11, 390, 1555, 100, 1132, 9, 29, 3.15, 0
6, 12, 420, 1633, 100, 1132, 9, 29, 2.91, 0
6, 13, 450, 1702, 99, 1132, 9, 29, 2.7, 0
6, 14, 480, 1770, 99, 1134, 10, 29, 2.51, 0
7, 15, 510, 1842, 100, 1134, 10, 29, 2.45, 0
7, 16, 540, 1920, 98, 1137, 11, 29, 2.45, 0
7, 17, 570, 1987, 99, 1137, 11, 29, 2.38, 0
7, 18, 600, 2049, 99, 1137, 11, 29, 2.35, 0
7, 19, 630, 2109, 99, 1137, 11, 29, 2.19, 0
8, 20, 660, 2164, 100, 1137, 11, 29, 1.96, 0
8, 21, 690, 2227, 100, 1137, 11, 29, 1.97, 0
8, 22, 720, 2291, 99, 1137, 11, 29, 2.0, 0
8, 23, 750, 2361, 99, 1137, 11, 29, 2.15, 0
9, 24, 780, 2441, 98, 1137, 11, 29, 2.37, 0
9, 25, 810, 2506, 99, 1137, 11, 29, 2.34, 0
9, 26, 840, 2570, 99, 1137, 11, 29, 2.29, 0
9, 27, 870, 2641, 99, 1137, 11, 29, 2.36, 0
10, 28, 900, 2707, 99, 1137, 11, 29, 2.24, 0
10, 29, 930, 2770, 99, 1137, 11, 29, 2.2, 0
10, 30, 960, 2842, 98, 1137, 11, 29, 2.3, 0
10, 31, 990, 2904, 99, 1137, 11, 29, 2.21, 0
11, 32, 1020, 2967, 99, 1137, 11, 29, 2.21, 0
11, 33, 1050, 3032, 99, 1137, 11, 29, 2.23, 0
11, 34, 1080, 3095, 99, 1137, 11, 29, 2.11, 0
11, 35, 1110, 3152, 99, 1137, 11, 29, 2.06, 0
11, 36, 1140, 3209, 99, 1137, 11, 29, 2.04, 0
12, 37, 1170, 3276, 99, 1137, 11, 29, 2.02, 0
12, 38, 1200, 3333, 99, 1137, 11, 29, 2.02, 0
12, 39, 1230, 3391, 99, 1137, 11, 29, 2.02, 0
12, 40, 1260, 3447, 99, 1137, 11, 29, 1.97, 0
13, 41, 1290, 3512, 98, 1137, 11, 29, 1.98, 0
13, 42, 1320, 3573, 99, 1137, 11, 29, 2.03, 0
13, 43, 1350, 3643, 97, 1137, 11, 29, 2.18, 0
13, 44, 1380, 3707, 99, 1137, 11, 29, 2.2, 0
14, 45, 1410, 3767, 99, 1137, 11, 29, 2.17, 0
14, 46, 1440, 3833, 99, 1137, 11, 29, 2.1, 0
14, 47, 1470, 3904, 99, 1137, 11, 29, 2.21, 0
15, 48, 1500, 3960, 98, 1137, 11, 29, 2.15, 0
15, 49, 1530, 4022, 100, 1137, 11, 29, 2.13, 0
15, 50, 1560, 4076, 99, 1137, 11, 29, 2.02, 0
15, 51, 1590, 4136, 100, 1137, 11, 29, 1.95, 0
16, 52, 1620, 4199, 98, 1137, 11, 29, 1.92, 0
16, 53, 1650, 4268, 98, 1137, 11, 29, 2.08, 0
16, 54, 1680, 4335, 97, 1137, 11, 29, 2.16, 0
16, 55, 1710, 4394, 96, 1137, 11, 29, 2.24, 0
17, 56, 1740, 4458, 99, 1137, 11, 29, 2.15, 0
17, 57, 1770, 4522, 99, 1137, 11, 29, 2.18, 0
17, 58, 1800, 4578, 100, 1137, 11, 29, 2.02, 0
17, 59, 1830, 4641, 99, 1137, 11, 29, 2.06, 0
18, 60, 1860, 4707, 99, 1137, 11, 29, 2.16, 0
18, 61, 1890, 4765, 100, 1137, 11, 29, 2.02, 0
18, 62, 1920, 4819, 99, 1137, 11, 29, 1.98, 0
19, 63, 1950, 4875, 98, 1137, 11, 29, 1.93, 0
19, 64, 1980, 4937, 99, 1137, 11, 29, 1.9, 0
19, 65, 2010, 4996, 99, 1137, 11, 29, 1.92, 0
19, 66, 2040, 5067, 99, 1137, 11, 29, 2.1, 0
