time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 2, 2, 100, 63, 1, 6, 1.0, 0
0, 1, 4, 4, 75, 96, 1, 9, 1.0, 0
0, 2, 6, 6, 100, 101, 2, 10, 1.0, 0
0, 3, 8, 8, 100, 118, 2, 11, 1.0, 0
0, 4, 10, 10, 100, 138, 2, 13, 1.0, 0
0, 5, 12, 12, 100, 141, 3, 13, 1.0, 0
0, 6, 14, 14, 100, 144, 4, 13, 1.0, 0
0, 7, 16, 16, 100, 151, 5, 14, 1.0, 0
0, 8, 18, 18, 94, 154, 6, 14, 1.0, 0
0, 9, 20, 20, 100, 157, 7, 14, 1.0, 0
0, 10, 22, 22, 95, 162, 8, 15, 1.0, 0
0, 11, 24, 24, 100, 177, 8, 16, 1.0, 0
0, 12, 26, 26, 100, 199, 9, 18, 1.0, 0
0, 13, 28, 28, 100, 204, 10, 19, 1.0, 0
0, 14, 30, 30, 100, 210, 10, 19, 1.0, 0
0, 15, 32, 32, 100, 221, 11, 20, 1.0, 0
0, 16, 34, 34, 100, 228, 12, 21, 1.0, 0
0, 17, 36, 36, 100, 235, 13, 22, 1.0, 0
0, 18, 38, 41, 100, 303, 15, 28, 1.0789473684210527, 0
0, 19, 40, 51, 100, 303, 15, 28, 1.275, 0
0, 20, 41, 52, 100, 303, 15, 28, 1.2682926829268293, 0
0, 21, 43, 54, 96, 303, 15, 28, 1.255813953488372, 0
0, 22, 44, 55, 94, 303, 15, 28, 1.25, 0
0, 23, 45, 56, 92, 303, 15, 28, 1.2444444444444445, 0
0, 24, 46, 57, 91, 303, 15, 28, 1.2391304347826086, 0
0, 25, 47, 58, 100, 303, 15, 28, 1.2340425531914894, 0
0, 26, 49, 62, 100, 303, 15, 28, 1.2653061224489797, 0
0, 27, 51, 64, 100, 303, 15, 28, 1.2549019607843137, 0
0, 28, 52, 65, 100, 303, 15, 28, 1.25, 0
0, 29, 53, 66, 100, 303, 15, 28, 1.2452830188679245, 0
0, 30, 55, 68, 100, 303, 15, 28, 1.2363636363636363, 0
0, 31, 57, 70, 98, 303, 15, 28, 1.2280701754385965, 0
0, 32, 58, 71, 100, 303, 15, 28, 1.2241379310344827, 0
0, 33, 59, 72, 100, 303, 15, 28, 1.2203389830508475, 0
0, 34, 61, 75, 96, 303, 15, 28, 1.2295081967213115, 0
0, 35, 63, 83, 100, 303, 15, 28, 1.3174603174603174, 0
0, 36, 64, 84, 100, 303, 15, 28, 1.3125, 0
0, 37, 66, 89, 100, 312, 15, 29, 1.3484848484848484, 0
0, 38, 67, 90, 100, 312, 15, 29, 1.3432835820895523, 0
0, 39, 69, 92, 98, 312, 15, 29, 1.3333333333333333, 0
0, 40, 70, 95, 100, 312, 15, 29, 1.3571428571428572, 0
0, 41, 71, 97, 100, 312, 15, 29, 1.3661971830985915, 0
0, 42, 72, 98, 98, 312, 15, 29, 1.3611111111111112, 0
0, 43, 74, 103, 94, 312, 15, 29, 1.3918918918918919, 0
0, 44, 76, 112, 100, 318, 15, 30, 1.4736842105263157, 0
0, 45, 78, 116, 100, 321, 15, 30, 1.4871794871794872, 0
0, 46, 80, 119, 100, 321, 15, 30, 1.4875, 0
0, 47, 81, 120, 100, 321, 15, 30, 1.4814814814814814, 0
0, 48, 83, 135, 92, 321, 15, 30, 1.6265060240963856, 0
0, 49, 85, 140, 99, 321, 15, 30, 1.6470588235294117, 0
0, 50, 86, 141, 98, 321, 15, 30, 1.6395348837209303, 0
0, 51, 87, 145, 100, 321, 15, 30, 1.6666666666666667, 0
0, 52, 89, 149, 99, 331, 15, 31, 1.6741573033707866, 0
0, 53, 91, 151, 99, 331, 15, 31, 1.6593406593406594, 0
0, 54, 92, 152, 100, 331, 15, 31, 1.6521739130434783, 0
0, 55, 93, 153, 99, 331, 15, 31, 1.6451612903225807, 0
0, 56, 95, 157, 99, 331, 15, 31, 1.6526315789473685, 0
1, 57, 96, 158, 100, 331, 15, 31, 1.6458333333333333, 0
1, 58, 98, 160, 100, 331, 15, 31, 1.6326530612244898, 0
1, 59, 99, 163, 100, 331, 15, 31, 1.6464646464646464, 0
1, 60, 100, 166, 100, 331, 15, 31, 1.66, 0
1, 61, 101, 167, 99, 331, 15, 31, 1.66, 0
1, 62, 102, 168, 98, 331, 15, 31, 1.66, 0
1, 63, 103, 172, 96, 331, 15, 31, 1.69, 0
1, 64, 105, 182, 98, 331, 15, 31, 1.77, 0
1, 65, 107, 184, 100, 331, 15, 31, 1.77, 0
1, 66, 109, 193, 100, 331, 15, 31, 1.84, 0
1, 67, 110, 202, 95, 331, 15, 31, 1.92, 0
1, 68, 112, 205, 99, 331, 15, 31, 1.93, 0
1, 69, 114, 208, 99, 357, 15, 33, 1.94, 0
1, 70, 116, 219, 100, 357, 15, 33, 2.03, 0
1, 71, 117, 226, 100, 357, 15, 33, 2.09, 0
1, 72, 118, 234, 100, 357, 15, 33, 2.16, 0
1, 73, 119, 235, 100, 357, 15, 33, 2.16, 0
1, 74, 120, 236, 100, 357, 15, 33, 2.16, 0
1, 75, 121, 239, 98, 357, 15, 33, 2.18, 0
1, 76, 122, 247, 95, 357, 15, 33, 2.25, 0
1, 77, 123, 254, 92, 357, 15, 33, 2.31, 0
1, 78, 125, 256, 100, 357, 15, 33, 2.31, 0
1, 79, 127, 260, 100, 357, 15, 33, 2.33, 0
1, 80, 128, 261, 100, 357, 15, 33, 2.33, 0
1, 81, 129, 262, 100, 357, 15, 33, 2.33, 0
