time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
3, 0, 62, 143, 100, 318, 15, 30, 2.306451612903226, 0
4, 1, 94, 217, 100, 323, 15, 30, 2.3085106382978724, 0
5, 2, 126, 283, 100, 326, 16, 30, 2.4, 0
6, 3, 158, 363, 96, 334, 16, 31, 2.4, 0
6, 4, 190, 433, 100, 334, 16, 31, 2.27, 0
7, 5, 222, 492, 100, 334, 16, 31, 2.26, 0
8, 6, 254, 572, 98, 335, 16, 31, 2.28, 0
9, 7, 286, 653, 97, 335, 16, 31, 2.32, 0
10, 8, 318, 733, 99, 344, 16, 32, 2.52, 0
10, 9, 350, 804, 98, 344, 16, 32, 2.39, 0
11, 10, 382, 891, 99, 344, 16, 32, 2.53, 0
12, 11, 414, 967, 96, 344, 16, 32, 2.5, 0
13, 12, 446, 1045, 99, 344, 16, 32, 2.48, 0
13, 13, 478, 1108, 99, 344, 16, 32, 2.29, 0
14, 14, 510, 1185, 98, 344, 16, 32, 2.35, 0
14, 15, 542, 1251, 97, 344, 16, 32, 2.18, 0
15, 16, 574, 1320, 97, 344, 16, 32, 2.16, 0
16, 17, 606, 1412, 99, 344, 16, 32, 2.37, 0
16, 18, 638, 1486, 96, 344, 16, 32, 2.44, 0
17, 19, 670, 1567, 99, 344, 16, 32, 2.6, 0
18, 20, 702, 1632, 95, 344, 16, 32, 2.28, 0
18, 21, 734, 1720, 97, 344, 16, 32, 2.39, 0
19, 22, 766, 1794, 99, 344, 16, 32, 2.36, 0
19, 23, 798, 1862, 100, 344, 16, 32, 2.39, 0
20, 24, 830, 1933, 99, 344, 16, 32, 2.25, 0
20, 25, 862, 2017, 99, 354, 16, 33, 2.32, 0
21, 26, 894, 2087, 96, 354, 16, 33, 2.34, 0
21, 27, 926, 2178, 99, 379, 16, 35, 2.53, 0
22, 28, 958, 2266, 98, 379, 16, 35, 2.64, 0
23, 29, 990, 2356, 96, 379, 16, 35, 2.78, 0
23, 30, 1022, 2435, 100, 379, 16, 35, 2.78, 0
24, 31, 1054, 2533, 96, 379, 16, 35, 2.84, 0
24, 32, 1086, 2611, 100, 379, 16, 35, 2.7, 0
25, 33, 1118, 2698, 98, 379, 16, 35, 2.75, 0
26, 34, 1150, 2781, 99, 379, 16, 35, 2.61, 0
26, 35, 1182, 2867, 100, 379, 16, 35, 2.68, 0
27, 36, 1214, 2948, 99, 379, 16, 35, 2.71, 0
27, 37, 1246, 3026, 100, 379, 16, 35, 2.53, 0
27, 38, 1278, 3102, 97, 379, 16, 35, 2.43, 0
28, 39, 1310, 3178, 97, 379, 16, 35, 2.39, 0
28, 40, 1342, 3265, 95, 379, 16, 35, 2.5, 0
29, 41, 1374, 3353, 99, 379, 16, 35, 2.6, 0
29, 42, 1406, 3413, 98, 379, 16, 35, 2.45, 0
30, 43, 1438, 3492, 100, 379, 16, 35, 2.42, 0
30, 44, 1470, 3582, 99, 379, 16, 35, 2.42, 0
31, 45, 1502, 3667, 99, 379, 16, 35, 2.61, 0
31, 46, 1534, 3745, 97, 379, 16, 35, 2.65, 0
32, 47, 1566, 3828, 99, 379, 16, 35, 2.58, 0
32, 48, 1598, 3918, 99, 379, 16, 35, 2.6, 0
33, 49, 1630, 3996, 99, 379, 16, 35, 2.62, 0
33, 50, 1662, 4064, 97, 379, 16, 35, 2.43, 0
34, 51, 1694, 4145, 99, 382, 17, 35, 2.48, 0
34, 52, 1726, 4238, 97, 382, 17, 35, 2.56, 0
35, 53, 1758, 4329, 95, 382, 17, 35, 2.69, 0
35, 54, 1790, 4390, 94, 382, 17, 35, 2.53, 0
36, 55, 1822, 4474, 98, 382, 17, 35, 2.56, 0
36, 56, 1854, 4558, 96, 382, 17, 35, 2.48, 0
36, 57, 1886, 4640, 99, 382, 17, 35, 2.6, 0
37, 58, 1918, 4724, 98, 382, 17, 35, 2.63, 0
37, 59, 1950, 4816, 98, 382, 17, 35, 2.79, 0
38, 60, 1982, 4900, 96, 382, 17, 35, 2.67, 0
38, 61, 2014, 4970, 99, 382, 17, 35, 2.62, 0
39, 62, 2046, 5055, 98, 382, 17, 35, 2.53, 0
39, 63, 2078, 5124, 96, 382, 17, 35, 2.3, 0
40, 64, 2110, 5199, 95, 382, 17, 35, 2.36, 0
40, 65, 2142, 5294, 93, 382, 17, 35, 2.56, 0
40, 66, 2174, 5382, 99, 382, 17, 35, 2.62, 0
41, 67, 2206, 5469, 98, 382, 17, 35, 2.82, 0
42, 68, 2238, 5548, 96, 382, 17, 35, 2.71, 0
42, 69, 2270, 5614, 99, 382, 17, 35, 2.43, 0
43, 70, 2302, 5692, 99, 382, 17, 35, 2.33, 0
43, 71, 2334, 5778, 98, 382, 17, 35, 2.44, 0
43, 72, 2366, 5860, 99, 382, 17, 35, 2.55, 0
44, 73, 2398, 5938, 99, 382, 17, 35, 2.54, 0
44, 74, 2430, 6027, 99, 382, 17, 35, 2.68, 0
45, 75, 2462, 6095, 98, 382, 17, 35, 2.45, 0
45, 76, 2494, 6196, 97, 382, 17, 35, 2.64, 0
46, 77, 2526, 6284, 95, 382, 17, 35, 2.72, 0
46, 78, 2558, 6356, 100, 382, 17, 35, 2.71, 0
47, 79, 2590, 6453, 99, 382, 17, 35, 2.79, 0
47, 80, 2622, 6530, 99, 382, 17, 35, 2.55, 0
48, 81, 2654, 6627, 97, 382, 17, 35, 2.81, 0
48, 82, 2686, 6718, 99, 382, 17, 35, 2.89, 0
49, 83, 2718, 6817, 97, 382, 17, 35, 2.96, 0
49, 84, 2750, 6912, 99, 382, 17, 35, 3.0, 0
50, 85, 2782, 7000, 97, 382, 17, 35, 2.93, 0
50, 86, 2814, 7102, 96, 382, 17, 35, 3.07, 0
51, 87, 2846, 7185, 99, 382, 17, 35, 2.84, 0
51, 88, 2878, 7267, 98, 382, 17, 35, 2.88, 0
51, 89, 2910, 7363, 100, 382, 17, 35, 2.76, 0
52, 90, 2942, 7444, 99, 382, 17, 35, 2.68, 0
52, 91, 2974, 7532, 99, 382, 17, 35, 2.82, 0
53, 92, 3006, 7620, 98, 382, 17, 35, 2.7, 0
