time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 60, 237, 100, 241, 13, 23, 3.95, 0
1, 1, 90, 325, 100, 268, 13, 25, 3.611111111111111, 0
2, 2, 120, 423, 100, 317, 13, 30, 3.73, 0
2, 3, 150, 512, 100, 317, 13, 30, 3.16, 0
2, 4, 180, 631, 100, 317, 13, 30, 3.34, 0
3, 5, 210, 721, 98, 317, 13, 30, 3.31, 0
3, 6, 240, 783, 99, 325, 13, 31, 2.99, 0
3, 7, 270, 852, 100, 325, 13, 31, 2.54, 0
4, 8, 300, 946, 98, 325, 13, 31, 2.66, 0
4, 9, 330, 1010, 100, 325, 13, 31, 2.45, 0
4, 10, 360, 1081, 99, 334, 13, 31, 2.48, 0
4, 11, 390, 1144, 99, 334, 13, 31, 2.33, 0
5, 12, 420, 1208, 99, 334, 13, 31, 2.21, 0
5, 13, 450, 1275, 99, 334, 13, 31, 2.17, 0
5, 14, 480, 1338, 100, 334, 13, 31, 2.2, 0
6, 15, 510, 1402, 100, 337, 13, 31, 2.21, 0
6, 16, 540, 1467, 99, 348, 14, 32, 2.2, 0
6, 17, 570, 1536, 98, 348, 14, 32, 2.23, 0
6, 18, 600, 1598, 99, 348, 14, 32, 2.14, 0
7, 19, 630, 1665, 99, 348, 14, 32, 2.24, 0
7, 20, 660, 1731, 100, 348, 14, 32, 2.19, 0
7, 21, 690, 1787, 99, 348, 14, 32, 2.09, 0
7, 22, 720, 1852, 100, 348, 14, 32, 2.12, 0
8, 23, 750, 1910, 98, 348, 14, 32, 2.05, 0
8, 24, 780, 1968, 99, 348, 14, 32, 2.02, 0
8, 25, 810, 2036, 99, 348, 14, 32, 2.05, 0
8, 26, 840, 2103, 98, 348, 14, 32, 2.13, 0
9, 27, 870, 2166, 100, 348, 14, 32, 2.17, 0
9, 28, 900, 2224, 100, 352, 14, 33, 2.16, 0
9, 29, 930, 2282, 97, 352, 14, 33, 2.07, 0
9, 30, 960, 2349, 98, 352, 14, 33, 2.07, 0
10, 31, 990, 2411, 99, 352, 14, 33, 2.11, 0
10, 32, 1020, 2474, 100, 352, 14, 33, 2.11, 0
10, 33, 1050, 2537, 97, 352, 14, 33, 2.1, 0
10, 34, 1080, 2604, 100, 352, 14, 33, 2.11, 0
11, 35, 1110, 2660, 99, 352, 14, 33, 2.11, 0
11, 36, 1140, 2724, 99, 352, 14, 33, 2.09, 0
11, 37, 1170, 2789, 97, 352, 14, 33, 2.06, 0
11, 38, 1200, 2854, 95, 352, 14, 33, 2.13, 0
11, 39, 1230, 2917, 92, 352, 14, 33, 2.16, 0
12, 40, 1260, 2969, 100, 352, 14, 33, 2.08, 0
12, 41, 1290, 3032, 98, 352, 14, 33, 2.08, 0
12, 42, 1320, 3100, 99, 372, 16, 35, 2.05, 0
13, 43, 1350, 3179, 99, 372, 16, 35, 2.33, 0
13, 44, 1380, 3278, 99, 372, 16, 35, 2.68, 0
13, 45, 1410, 3360, 99, 372, 16, 35, 2.88, 0
14, 46, 1440, 3417, 99, 372, 16, 35, 2.71, 0
14, 47, 1470, 3484, 100, 372, 16, 35, 2.36, 0
14, 48, 1500, 3550, 98, 372, 16, 35, 2.15, 0
14, 49, 1530, 3611, 100, 372, 16, 35, 2.11, 0
15, 50, 1560, 3677, 100, 372, 16, 35, 2.15, 0
15, 51, 1590, 3746, 98, 372, 16, 35, 2.24, 0
15, 52, 1620, 3813, 99, 372, 16, 35, 2.19, 0
15, 53, 1650, 3884, 97, 372, 16, 35, 2.27, 0
16, 54, 1680, 3969, 99, 372, 16, 35, 2.53, 0
16, 55, 1710, 4041, 99, 372, 16, 35, 2.55, 0
16, 56, 1740, 4110, 99, 372, 16, 35, 2.56, 0
16, 57, 1770, 4178, 99, 372, 16, 35, 2.42, 0
