time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 2, 2, 100, 34, 0, 3, 1.0, 0
0, 1, 4, 4, 100, 48, 0, 5, 1.0, 0
0, 2, 6, 6, 83, 114, 0, 14, 1.0, 0
0, 3, 8, 8, 100, 171, 0, 24, 1.0, 0
0, 4, 10, 10, 90, 223, 0, 30, 1.0, 0
0, 5, 12, 12, 100, 301, 0, 42, 1.0, 0
0, 6, 13, 13, 92, 301, 0, 42, 1.0, 0
0, 7, 15, 15, 100, 301, 0, 42, 1.0, 0
0, 8, 17, 17, 100, 302, 0, 42, 1.0, 0
0, 9, 18, 18, 94, 302, 0, 42, 1.0, 0
0, 10, 20, 20, 95, 329, 0, 46, 1.0, 0
0, 11, 22, 31, 100, 364, 0, 52, 1.4090909090909092, 0
0, 12, 24, 33, 96, 364, 0, 52, 1.375, 0
0, 13, 26, 35, 100, 365, 0, 52, 1.3461538461538463, 0
0, 14, 27, 36, 97, 365, 0, 52, 1.3333333333333333, 0
0, 15, 28, 37, 100, 365, 0, 52, 1.3214285714285714, 0
0, 16, 29, 38, 97, 365, 0, 52, 1.3103448275862069, 0
0, 17, 31, 42, 97, 366, 0, 52, 1.3548387096774193, 0
0, 18, 33, 44, 100, 366, 0, 52, 1.3333333333333333, 0
0, 19, 34, 45, 100, 366, 0, 52, 1.3235294117647058, 0
0, 20, 35, 46, 100, 366, 0, 52, 1.3142857142857143, 0
0, 21, 36, 47, 100, 366, 0, 52, 1.3055555555555556, 0
0, 22, 38, 55, 100, 371, 0, 53, 1.4473684210526316, 0
0, 23, 40, 61, 98, 371, 0, 53, 1.525, 0
0, 24, 42, 80, 87, 372, 0, 53, 1.9047619047619047, 0
0, 25, 43, 81, 86, 372, 0, 53, 1.8837209302325582, 0
0, 26, 45, 85, 100, 373, 0, 53, 1.8888888888888888, 0
0, 27, 47, 89, 100, 373, 0, 53, 1.8936170212765957, 0
0, 28, 49, 100, 98, 373, 0, 53, 2.0408163265306123, 0
0, 29, 50, 102, 96, 373, 0, 53, 2.04, 0
0, 30, 51, 103, 100, 373, 0, 53, 2.019607843137255, 0
0, 31, 52, 108, 100, 382, 0, 54, 2.076923076923077, 0
0, 32, 53, 113, 100, 382, 0, 54, 2.1320754716981134, 0
0, 33, 55, 116, 98, 382, 0, 54, 2.109090909090909, 0
0, 34, 56, 126, 100, 382, 0, 54, 2.25, 0
0, 35, 58, 139, 100, 382, 0, 54, 2.396551724137931, 0
0, 36, 59, 140, 99, 382, 0, 54, 2.3728813559322033, 0
0, 37, 60, 150, 92, 382, 0, 54, 2.5, 0
0, 38, 61, 159, 87, 382, 0, 54, 2.6065573770491803, 0
0, 39, 62, 167, 83, 382, 0, 54, 2.693548387096774, 0
0, 40, 64, 169, 100, 390, 0, 55, 2.640625, 0
0, 41, 66, 177, 100, 390, 0, 55, 2.6818181818181817, 0
