time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 60, 287, 100, 463, 0, 68, 4.783333333333333, 0
2, 1, 90, 538, 100, 526, 0, 77, 5.977777777777778, 0
2, 2, 120, 779, 100, 531, 0, 78, 7.09, 0
3, 3, 150, 1000, 100, 533, 0, 78, 7.64, 0
3, 4, 180, 1224, 100, 534, 0, 78, 7.71, 0
3, 5, 210, 1442, 100, 534, 0, 78, 7.4, 0
4, 6, 240, 1651, 100, 537, 0, 78, 7.3, 0
5, 7, 270, 1892, 100, 538, 0, 78, 7.34, 0
5, 8, 300, 2104, 100, 542, 0, 78, 7.34, 0
6, 9, 330, 2310, 100, 542, 0, 78, 7.35, 0
7, 10, 360, 2519, 99, 543, 0, 78, 6.84, 0
8, 11, 390, 2683, 100, 543, 0, 78, 6.39, 0
9, 12, 420, 2839, 100, 543, 0, 78, 5.88, 0
9, 13, 450, 2985, 100, 543, 0, 78, 5.26, 0
10, 14, 480, 3148, 100, 543, 0, 78, 5.16, 0
10, 15, 510, 3338, 100, 543, 0, 78, 5.52, 0
11, 16, 540, 3547, 100, 550, 0, 79, 6.1, 0
11, 17, 570, 3752, 100, 550, 0, 79, 6.53, 0
12, 18, 600, 3944, 100, 550, 0, 79, 6.65, 0
12, 19, 630, 4108, 100, 550, 0, 79, 6.2, 0
13, 20, 660, 4281, 100, 550, 0, 79, 5.95, 0
13, 21, 690, 4418, 99, 550, 0, 79, 5.31, 0
13, 22, 720, 4540, 100, 550, 0, 79, 4.84, 0
13, 23, 750, 4662, 99, 550, 0, 79, 4.32, 0
14, 24, 780, 4748, 99, 550, 0, 79, 3.73, 0
14, 25, 810, 4836, 99, 550, 0, 79, 3.32, 0
14, 26, 840, 4934, 100, 558, 0, 81, 3.05, 0
14, 27, 870, 5035, 99, 558, 0, 81, 3.15, 0
15, 28, 900, 5108, 100, 558, 0, 81, 2.98, 0
15, 29, 930, 5169, 99, 558, 0, 81, 2.75, 0
15, 30, 960, 5234, 99, 558, 0, 81, 2.38, 0
15, 31, 990, 5297, 100, 558, 0, 81, 2.07, 0
15, 32, 1020, 5368, 99, 558, 0, 81, 2.21, 0
16, 33, 1050, 5454, 99, 558, 0, 81, 2.45, 0
16, 34, 1080, 5518, 100, 560, 0, 81, 2.39, 0
16, 35, 1110, 5586, 99, 560, 0, 81, 2.45, 0
16, 36, 1140, 5662, 100, 560, 0, 81, 2.48, 0
16, 37, 1170, 5777, 100, 560, 0, 81, 2.83, 0
17, 38, 1200, 5852, 99, 560, 0, 81, 2.87, 0
17, 39, 1230, 5940, 99, 560, 0, 81, 3.05, 0
17, 40, 1260, 6004, 99, 569, 0, 81, 2.62, 0
18, 41, 1290, 6136, 99, 569, 0, 81, 3.14, 0
18, 42, 1320, 6210, 100, 572, 0, 82, 2.99, 0
18, 43, 1350, 6282, 99, 572, 0, 82, 3.1, 0
18, 44, 1380, 6349, 99, 572, 0, 82, 2.63, 0
19, 45, 1410, 6409, 99, 572, 0, 82, 2.22, 0
19, 46, 1440, 6466, 99, 572, 0, 82, 2.1, 0
19, 47, 1470, 6529, 99, 572, 0, 82, 2.02, 0
19, 48, 1500, 6584, 100, 572, 0, 82, 1.96, 0
19, 49, 1530, 6639, 99, 572, 0, 82, 1.9, 0
19, 50, 1560, 6710, 99, 572, 0, 82, 2.0, 0
19, 51, 1590, 6765, 99, 572, 0, 82, 1.99, 0
19, 52, 1620, 6821, 99, 572, 0, 82, 2.02, 0
19, 53, 1650, 6886, 99, 572, 0, 82, 2.07, 0
20, 54, 1680, 6946, 99, 573, 0, 82, 1.99, 0
20, 55, 1710, 7009, 100, 573, 0, 82, 2.07, 0
20, 56, 1740, 7068, 99, 573, 0, 82, 2.04, 0
20, 57, 1770, 7119, 99, 574, 0, 82, 1.98, 0
20, 58, 1800, 7187, 99, 574, 0, 82, 1.97, 0
20, 59, 1830, 7246, 99, 574, 0, 82, 1.98, 0
20, 60, 1860, 7316, 99, 574, 0, 82, 2.14, 0
20, 61, 1890, 7377, 99, 574, 0, 82, 2.13, 0
20, 62, 1920, 7442, 99, 574, 0, 82, 2.16, 0
20, 63, 1950, 7500, 99, 574, 0, 82, 2.12, 0
21, 64, 1980, 7561, 99, 574, 0, 82, 2.08, 0
21, 65, 2010, 7628, 100, 576, 0, 82, 2.12, 0
21, 66, 2040, 7695, 99, 576, 0, 82, 2.15, 0
21, 67, 2070, 7771, 99, 576, 0, 82, 2.3, 0
21, 68, 2100, 7851, 99, 576, 0, 82, 2.46, 0
21, 69, 2130, 7910, 99, 588, 0, 85, 2.39, 0
21, 70, 2160, 7979, 99, 588, 0, 85, 2.32, 0
21, 71, 2190, 8050, 99, 588, 0, 85, 2.28, 0
22, 72, 2220, 8110, 99, 588, 0, 85, 2.21, 0
22, 73, 2250, 8179, 99, 588, 0, 85, 2.25, 0
22, 74, 2280, 8233, 99, 588, 0, 85, 2.1, 0
22, 75, 2310, 8292, 99, 588, 0, 85, 2.0, 0
22, 76, 2340, 8345, 99, 588, 0, 85, 1.92, 0
22, 77, 2370, 8408, 99, 588, 0, 85, 1.94, 0
