time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 2, 2, 50, 64, 1, 1, 1.0, 0
0, 1, 4, 4, 75, 67, 2, 1, 1.0, 0
0, 2, 6, 6, 83, 377, 2, 3, 1.0, 0
0, 3, 8, 8, 87, 386, 2, 3, 1.0, 0
0, 4, 10, 10, 90, 403, 2, 3, 1.0, 0
0, 5, 12, 12, 91, 408, 2, 3, 1.0, 0
0, 6, 14, 14, 100, 414, 2, 3, 1.0, 0
0, 7, 16, 16, 100, 418, 2, 3, 1.0, 0
0, 8, 18, 18, 94, 419, 2, 3, 1.0, 0
0, 9, 20, 20, 95, 420, 2, 3, 1.0, 0
0, 10, 22, 22, 95, 421, 2, 3, 1.0, 0
0, 11, 24, 24, 95, 422, 2, 3, 1.0, 0
0, 12, 26, 26, 96, 423, 2, 3, 1.0, 0
0, 13, 28, 28, 96, 424, 2, 3, 1.0, 0
0, 14, 30, 30, 96, 425, 2, 3, 1.0, 0
1, 15, 32, 32, 96, 426, 2, 3, 1.0, 0
1, 16, 34, 34, 97, 427, 2, 3, 1.0, 0
1, 17, 36, 36, 97, 428, 2, 3, 1.0, 0
1, 18, 38, 38, 97, 429, 2, 3, 1.0, 0
1, 19, 40, 40, 97, 430, 2, 3, 1.0, 0
1, 20, 42, 42, 97, 431, 2, 3, 1.0, 0
1, 21, 44, 44, 97, 432, 2, 3, 1.0, 0
1, 22, 46, 46, 97, 433, 2, 3, 1.0, 0
1, 23, 48, 48, 97, 434, 2, 3, 1.0, 0
1, 24, 50, 50, 98, 435, 2, 3, 1.0, 0
1, 25, 52, 52, 98, 436, 2, 3, 1.0, 0
1, 26, 54, 54, 98, 437, 2, 3, 1.0, 0
1, 27, 56, 56, 98, 438, 2, 3, 1.0, 0
1, 28, 58, 58, 98, 439, 2, 3, 1.0, 0
1, 29, 60, 60, 98, 440, 2, 3, 1.0, 0
1, 30, 62, 62, 98, 441, 2, 3, 1.0, 0
1, 31, 64, 64, 98, 442, 2, 3, 1.0, 0
1, 32, 66, 66, 98, 444, 2, 3, 1.0, 0
1, 33, 68, 68, 98, 446, 2, 3, 1.0, 0
1, 34, 70, 70, 98, 447, 2, 3, 1.0, 0
1, 35, 72, 72, 98, 448, 2, 3, 1.0, 0
1, 36, 74, 74, 98, 449, 2, 3, 1.0, 0
1, 37, 76, 76, 98, 450, 2, 3, 1.0, 0
2, 38, 78, 78, 98, 451, 2, 3, 1.0, 0
2, 39, 80, 80, 98, 452, 2, 3, 1.0, 0
2, 40, 82, 82, 98, 453, 2, 3, 1.0, 0
2, 41, 84, 84, 98, 454, 2, 3, 1.0, 0
2, 42, 86, 86, 98, 455, 2, 3, 1.0, 0
2, 43, 88, 88, 98, 456, 2, 3, 1.0, 0
2, 44, 90, 90, 98, 457, 2, 3, 1.0, 0
2, 45, 92, 92, 98, 458, 2, 3, 1.0, 0
2, 46, 94, 94, 98, 459, 2, 3, 1.0, 0
2, 47, 96, 96, 98, 460, 2, 3, 1.0, 0
2, 48, 98, 98, 98, 461, 2, 3, 1.0, 0
2, 49, 100, 100, 99, 462, 2, 3, 1.0, 0
2, 50, 102, 102, 99, 463, 2, 3, 1.0, 0
2, 51, 104, 104, 99, 464, 2, 3, 1.0, 0
2, 52, 106, 106, 99, 465, 2, 3, 1.0, 0
2, 53, 108, 108, 99, 466, 2, 3, 1.0, 0
2, 54, 110, 110, 99, 467, 2, 3, 1.0, 0
2, 55, 112, 112, 99, 468, 2, 3, 1.0, 0
2, 56, 114, 114, 99, 469, 2, 3, 1.0, 0
2, 57, 116, 116, 99, 470, 2, 3, 1.0, 0
2, 58, 118, 118, 99, 471, 2, 3, 1.0, 0
2, 59, 120, 120, 99, 472, 2, 3, 1.0, 0
2, 60, 122, 122, 99, 473, 2, 3, 1.0, 0
2, 61, 124, 124, 99, 474, 2, 3, 1.0, 0
2, 62, 126, 126, 99, 475, 2, 3, 1.0, 0
3, 63, 128, 128, 99, 476, 2, 3, 1.0, 0
3, 64, 130, 130, 99, 477, 2, 3, 1.0, 0
3, 65, 132, 132, 99, 478, 2, 3, 1.0, 0
3, 66, 134, 134, 99, 479, 2, 3, 1.0, 0
3, 67, 136, 136, 99, 480, 2, 3, 1.0, 0
3, 68, 138, 138, 99, 481, 2, 3, 1.0, 0
3, 69, 140, 140, 99, 482, 2, 3, 1.0, 0
3, 70, 142, 142, 99, 483, 2, 3, 1.0, 0
3, 71, 144, 144, 99, 484, 2, 3, 1.0, 0
3, 72, 146, 146, 99, 485, 2, 3, 1.0, 0
3, 73, 148, 148, 99, 486, 2, 3, 1.0, 0
3, 74, 150, 150, 99, 493, 2, 4, 1.0, 0
3, 75, 152, 152, 99, 494, 2, 4, 1.0, 0
3, 76, 154, 154, 99, 495, 2, 4, 1.0, 0
3, 77, 156, 156, 99, 496, 2, 4, 1.0, 0
3, 78, 158, 158, 99, 502, 2, 4, 1.0, 0
3, 79, 160, 160, 99, 504, 2, 4, 1.0, 0
3, 80, 162, 162, 99, 509, 2, 4, 1.0, 0
3, 81, 164, 164, 99, 511, 2, 4, 1.0, 0
3, 82, 166, 166, 99, 516, 2, 4, 1.0, 0
3, 83, 168, 168, 99, 518, 2, 4, 1.0, 0
3, 84, 170, 170, 99, 519, 2, 4, 1.0, 0
3, 85, 172, 172, 99, 520, 2, 4, 1.0, 0
3, 86, 174, 174, 99, 521, 2, 4, 1.0, 0
4, 87, 176, 176, 99, 522, 2, 4, 1.0, 0
4, 88, 178, 178, 99, 524, 2, 4, 1.0, 0
4, 89, 180, 180, 99, 526, 2, 4, 1.0, 0
4, 90, 182, 182, 99, 527, 2, 4, 1.0, 0
4, 91, 184, 184, 99, 528, 2, 4, 1.0, 0
4, 92, 186, 186, 99, 529, 2, 4, 1.0, 0
4, 93, 188, 188, 99, 530, 2, 4, 1.0, 0
4, 94, 190, 190, 99, 552, 3, 4, 1.0, 0
4, 95, 192, 192, 99, 555, 4, 4, 1.0, 0
4, 96, 194, 194, 99, 561, 5, 4, 1.0, 0
4, 97, 196, 196, 99, 564, 6, 4, 1.0, 0
4, 98, 198, 198, 99, 570, 7, 4, 1.0, 0
4, 99, 200, 200, 99, 573, 8, 4, 1.0, 0
4, 100, 202, 202, 99, 574, 8, 4, 1.0, 0
4, 101, 204, 204, 99, 575, 8, 4, 1.0, 0
4, 102, 206, 206, 99, 580, 8, 4, 1.0, 0
4, 103, 208, 208, 99, 582, 8, 4, 1.0, 0
4, 104, 210, 210, 99, 614, 8, 4, 1.0, 0
4, 105, 212, 212, 99, 616, 8, 4, 1.0, 0
4, 106, 214, 214, 99, 617, 8, 4, 1.0, 0
4, 107, 216, 216, 99, 622, 8, 4, 1.0, 0
4, 108, 218, 218, 99, 626, 8, 4, 1.0, 0
4, 109, 220, 220, 99, 628, 8, 4, 1.0, 0
4, 110, 222, 222, 99, 638, 9, 4, 1.0, 0
5, 111, 224, 224, 99, 643, 9, 4, 1.0, 0
