time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 60, 78, 100, 560, 3, 4, 1.3, 0
2, 1, 90, 129, 100, 602, 3, 4, 1.4333333333333333, 0
3, 2, 120, 188, 100, 629, 3, 4, 1.68, 0
4, 3, 150, 248, 100, 640, 3, 4, 1.86, 0
4, 4, 180, 310, 100, 655, 3, 4, 1.96, 0
5, 5, 210, 379, 100, 676, 5, 4, 2.07, 0
6, 6, 240, 440, 100, 691, 5, 4, 2.13, 0
6, 7, 270, 505, 100, 697, 5, 4, 2.17, 0
7, 8, 300, 561, 100, 700, 5, 4, 2.03, 0
7, 9, 330, 621, 100, 716, 6, 4, 1.98, 0
8, 10, 360, 701, 100, 731, 6, 4, 2.17, 0
9, 11, 390, 778, 100, 739, 6, 4, 2.31, 0
9, 12, 420, 854, 100, 756, 7, 5, 2.54, 0
10, 13, 450, 929, 100, 764, 8, 5, 2.54, 0
11, 14, 480, 1002, 100, 770, 9, 5, 2.49, 0
11, 15, 510, 1074, 100, 777, 9, 5, 2.4, 0
12, 16, 540, 1149, 100, 792, 10, 5, 2.41, 0
13, 17, 570, 1221, 100, 814, 11, 5, 2.44, 0
13, 18, 600, 1298, 100, 826, 11, 5, 2.45, 0
14, 19, 630, 1389, 100, 857, 11, 5, 2.63, 0
15, 20, 660, 1474, 100, 867, 11, 5, 2.77, 0
15, 21, 690, 1560, 100, 871, 11, 5, 2.9, 0
16, 22, 720, 1634, 100, 875, 11, 5, 2.67, 0
17, 23, 750, 1705, 100, 879, 11, 5, 2.56, 0
17, 24, 780, 1778, 100, 886, 11, 5, 2.39, 0
18, 25, 810, 1873, 100, 888, 11, 5, 2.65, 0
19, 26, 840, 1955, 100, 895, 11, 5, 2.75, 0
19, 27, 870, 2037, 100, 907, 11, 5, 2.84, 0
20, 28, 900, 2111, 100, 915, 11, 5, 2.71, 0
20, 29, 930, 2187, 100, 918, 11, 5, 2.64, 0
21, 30, 960, 2280, 100, 921, 11, 5, 2.79, 0
22, 31, 990, 2361, 100, 929, 11, 5, 2.73, 0
23, 32, 1020, 2443, 100, 1008, 11, 6, 2.81, 0
23, 33, 1050, 2511, 100, 1012, 11, 6, 2.57, 0
24, 34, 1080, 2593, 100, 1012, 11, 6, 2.62, 0
24, 35, 1110, 2687, 100, 1019, 12, 6, 2.73, 0
25, 36, 1140, 2773, 100, 1021, 12, 6, 2.77, 0
26, 37, 1170, 2850, 100, 1219, 12, 7, 2.8, 0
26, 38, 1200, 2926, 100, 1224, 12, 7, 2.67, 0
27, 39, 1230, 3007, 100, 1227, 12, 7, 2.66, 0
28, 40, 1260, 3077, 100, 1232, 12, 7, 2.52, 0
28, 41, 1290, 3159, 100, 1233, 12, 7, 2.56, 0
29, 42, 1320, 3232, 100, 1234, 12, 7, 2.52, 0
30, 43, 1350, 3310, 100, 1234, 12, 7, 2.59, 0
30, 44, 1380, 3377, 100, 1239, 13, 7, 2.37, 0
31, 45, 1410, 3459, 100, 1243, 14, 7, 2.52, 0
32, 46, 1440, 3550, 100, 1246, 14, 7, 2.66, 0
32, 47, 1470, 3628, 100, 1249, 14, 7, 2.73, 0
33, 48, 1500, 3718, 100, 1255, 14, 7, 2.82, 0
33, 49, 1530, 3793, 100, 1258, 14, 7, 2.7, 0
34, 50, 1560, 3866, 100, 1262, 14, 7, 2.66, 0
35, 51, 1590, 3943, 100, 1262, 14, 7, 2.61, 0
35, 52, 1620, 4021, 100, 1263, 14, 7, 2.57, 0
36, 53, 1650, 4087, 100, 1264, 14, 7, 2.4, 0
37, 54, 1680, 4165, 100, 1390, 14, 7, 2.5, 0
37, 55, 1710, 4257, 100, 1394, 14, 7, 2.65, 0
38, 56, 1740, 4341, 100, 1396, 14, 7, 2.72, 0
39, 57, 1770, 4414, 100, 1396, 14, 7, 2.7, 0
39, 58, 1800, 4489, 100, 1396, 14, 7, 2.68, 0
40, 59, 1830, 4571, 100, 1399, 14, 7, 2.57, 0
41, 60, 1860, 4643, 100, 1401, 14, 7, 2.5, 0
41, 61, 1890, 4742, 100, 1402, 14, 7, 2.77, 0
42, 62, 1920, 4824, 100, 1403, 14, 7, 2.79, 0
43, 63, 1950, 4901, 100, 1406, 14, 7, 2.82, 0
43, 64, 1980, 4982, 100, 1408, 14, 7, 2.72, 0
44, 65, 2010, 5053, 100, 1409, 14, 7, 2.48, 0
44, 66, 2040, 5143, 100, 1412, 15, 7, 2.63, 0
45, 67, 2070, 5227, 100, 1413, 15, 7, 2.73, 0
46, 68, 2100, 5306, 100, 1413, 15, 7, 2.75, 0
46, 69, 2130, 5398, 100, 1415, 15, 7, 2.86, 0
47, 70, 2160, 5467, 100, 1424, 15, 7, 2.69, 0
48, 71, 2190, 5535, 100, 1426, 15, 7, 2.59, 0
48, 72, 2220, 5617, 100, 1427, 15, 7, 2.5, 0
49, 73, 2250, 5684, 100, 1428, 15, 7, 2.44, 0
49, 74, 2280, 5766, 100, 1428, 15, 7, 2.48, 0
50, 75, 2310, 5830, 100, 1430, 15, 7, 2.37, 0
51, 76, 2340, 5918, 100, 1433, 15, 7, 2.58, 0
51, 77, 2370, 6006, 100, 1438, 15, 7, 2.64, 0
52, 78, 2400, 6080, 100, 1441, 15, 7, 2.73, 0
53, 79, 2430, 6155, 100, 1445, 15, 7, 2.7, 0
53, 80, 2460, 6232, 100, 1446, 15, 7, 2.55, 0
54, 81, 2490, 6304, 100, 1446, 15, 7, 2.47, 0
55, 82, 2520, 6379, 100, 1446, 15, 7, 2.47, 0
55, 83, 2550, 6450, 100, 1447, 15, 7, 2.39, 0
56, 84, 2580, 6531, 100, 1450, 15, 7, 2.49, 0
56, 85, 2610, 6612, 100, 1453, 16, 7, 2.58, 0
57, 86, 2640, 6694, 100, 1454, 16, 7, 2.73, 0
58, 87, 2670, 6767, 100, 1454, 16, 7, 2.61, 0
58, 88, 2700, 6839, 100, 1455, 16, 7, 2.54, 0
59, 89, 2730, 6921, 100, 1455, 16, 7, 2.5, 0
60, 90, 2760, 7008, 100, 1460, 16, 7, 2.62, 0
60, 91, 2790, 7077, 100, 1465, 17, 7, 2.58, 0
61, 92, 2820, 7154, 100, 1533, 17, 8, 2.62, 0
62, 93, 2850, 7225, 100, 1535, 17, 8, 2.43, 0
62, 94, 2880, 7310, 100, 1537, 17, 8, 2.55, 0
63, 95, 2910, 7391, 100, 1541, 18, 8, 2.55, 0
63, 96, 2940, 7474, 100, 1541, 18, 8, 2.69, 0
64, 97, 2970, 7550, 100, 1543, 18, 8, 2.63, 0
65, 98, 3000, 7638, 100, 1543, 18, 8, 2.74, 0
65, 99, 3030, 7711, 100, 1543, 18, 8, 2.67, 0
66, 100, 3060, 7783, 100, 1543, 18, 8, 2.61, 0
67, 101, 3090, 7865, 100, 1543, 18, 8, 2.59, 0
67, 102, 3120, 7931, 100, 1543, 18, 8, 2.41, 0
68, 103, 3150, 8013, 100, 1544, 18, 8, 2.54, 0
69, 104, 3180, 8085, 100, 1544, 18, 8, 2.43, 0
69, 105, 3210, 8174, 100, 1544, 18, 8, 2.67, 0
70, 106, 3240, 8257, 100, 1544, 18, 8, 2.71, 0
