time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
4, 0, 62, 86, 100, 409, 2, 7, 1.3870967741935485, 0
6, 1, 94, 157, 100, 436, 2, 7, 1.6702127659574468, 0
9, 2, 126, 217, 100, 459, 2, 7, 1.91, 0
14, 3, 158, 285, 100, 547, 3, 8, 2.05, 0
20, 4, 190, 356, 100, 634, 7, 10, 2.05, 0
24, 5, 222, 438, 100, 710, 7, 11, 2.28, 0
33, 6, 254, 519, 100, 757, 10, 11, 2.4, 0
43, 7, 286, 594, 100, 785, 12, 12, 2.47, 0
52, 8, 318, 683, 100, 817, 12, 12, 2.53, 0
59, 9, 350, 775, 100, 909, 13, 13, 2.63, 0
73, 10, 382, 896, 100, 925, 14, 13, 3.11, 0
79, 11, 414, 996, 100, 978, 15, 14, 3.22, 0
88, 12, 446, 1103, 100, 978, 15, 14, 3.35, 0
97, 13, 478, 1201, 100, 1071, 15, 16, 3.19, 0
101, 14, 510, 1304, 100, 1092, 15, 16, 3.13, 0
110, 15, 542, 1420, 100, 1122, 17, 16, 3.23, 0
119, 16, 574, 1529, 100, 1139, 18, 17, 3.45, 0
123, 17, 606, 1643, 100, 1142, 18, 17, 3.52, 0
126, 18, 638, 1765, 100, 1153, 19, 17, 3.54, 0
134, 19, 670, 1864, 100, 1153, 19, 17, 3.4, 0
142, 20, 702, 1980, 100, 1162, 20, 17, 3.45, 0
148, 21, 734, 2086, 100, 1176, 22, 17, 3.25, 0
151, 22, 766, 2180, 99, 1199, 23, 17, 3.22, 0
160, 23, 798, 2295, 100, 1199, 23, 17, 3.26, 0
175, 24, 830, 2392, 100, 1249, 24, 18, 3.17, 0
177, 25, 862, 2513, 100, 1269, 25, 18, 3.4, 0
189, 26, 894, 2647, 100, 1327, 25, 19, 3.62, 0
198, 27, 926, 2776, 100, 1341, 25, 20, 3.94, 0
204, 28, 958, 2869, 100, 1344, 26, 20, 3.63, 0
219, 29, 990, 3003, 100, 1378, 28, 20, 3.68, 0
233, 30, 1022, 3108, 100, 1406, 28, 20, 3.43, 0
240, 31, 1054, 3225, 100, 1430, 29, 21, 3.6, 0
246, 32, 1086, 3335, 100, 1445, 29, 21, 3.46, 0
263, 33, 1118, 3457, 100, 1445, 29, 21, 3.55, 0
271, 34, 1150, 3549, 100, 1448, 30, 21, 3.35, 0
278, 35, 1182, 3651, 100, 1455, 31, 21, 3.28, 0
288, 36, 1214, 3753, 100, 1460, 31, 21, 3.08, 0
295, 37, 1246, 3860, 100, 1468, 31, 21, 3.18, 0
308, 38, 1278, 3959, 100, 1487, 31, 21, 3.14, 0
317, 39, 1310, 4085, 99, 1487, 31, 21, 3.37, 0
325, 40, 1342, 4188, 100, 1487, 31, 21, 3.37, 0
332, 41, 1374, 4298, 99, 1487, 31, 21, 3.44, 0
347, 42, 1406, 4403, 99, 1487, 31, 21, 3.33, 0
351, 43, 1438, 4503, 99, 1487, 31, 21, 3.23, 0
360, 44, 1470, 4625, 99, 1487, 31, 21, 3.33, 0
368, 45, 1502, 4720, 99, 1510, 31, 22, 3.3, 0
370, 46, 1534, 4815, 99, 1510, 31, 22, 3.2, 0
381, 47, 1566, 4922, 100, 1510, 31, 22, 3.1, 0
388, 48, 1598, 5040, 100, 1510, 31, 22, 3.26, 0
401, 49, 1630, 5141, 100, 1510, 31, 22, 3.33, 0
406, 50, 1662, 5226, 99, 1510, 31, 22, 3.16, 0
414, 51, 1694, 5329, 99, 1512, 31, 22, 2.94, 0
423, 52, 1726, 5416, 99, 1512, 31, 22, 2.85, 0
429, 53, 1758, 5498, 99, 1515, 32, 22, 2.8, 0
440, 54, 1790, 5591, 100, 1515, 32, 22, 2.69, 0
452, 55, 1822, 5674, 99, 1515, 32, 22, 2.64, 0
461, 56, 1854, 5775, 99, 1515, 32, 22, 2.84, 0
470, 57, 1886, 5873, 99, 1534, 32, 22, 2.87, 0
477, 58, 1918, 5963, 100, 1534, 32, 22, 2.94, 0
482, 59, 1950, 6058, 99, 1534, 32, 22, 2.92, 0
486, 60, 1982, 6145, 99, 1534, 32, 22, 2.79, 0
493, 61, 2014, 6243, 100, 1534, 32, 22, 2.87, 0
498, 62, 2046, 6335, 99, 1534, 32, 22, 2.85, 0
503, 63, 2078, 6421, 99, 1534, 32, 22, 2.87, 0
514, 64, 2110, 6514, 99, 1534, 32, 22, 2.77, 0
526, 65, 2142, 6607, 99, 1534, 32, 22, 2.77, 0
531, 66, 2174, 6690, 99, 1534, 32, 22, 2.74, 0
538, 67, 2206, 6771, 99, 1534, 32, 22, 2.67, 0
550, 68, 2238, 6860, 99, 1534, 32, 22, 2.61, 0
559, 69, 2270, 6952, 99, 1534, 32, 22, 2.72, 0
570, 70, 2302, 7039, 99, 1534, 32, 22, 2.76, 0
573, 71, 2334, 7121, 100, 1534, 32, 22, 2.67, 0
582, 72, 2366, 7200, 99, 1534, 32, 22, 2.56, 0
591, 73, 2398, 7276, 99, 1534, 32, 22, 2.43, 0
597, 74, 2430, 7356, 100, 1534, 32, 22, 2.41, 0
612, 75, 2462, 7441, 99, 1534, 32, 22, 2.52, 0
615, 76, 2494, 7528, 99, 1537, 33, 22, 2.6, 0
623, 77, 2526, 7622, 99, 1537, 33, 22, 2.72, 0
633, 78, 2558, 7720, 100, 1537, 33, 22, 2.87, 0
638, 79, 2590, 7797, 99, 1537, 33, 22, 2.79, 0
645, 80, 2622, 7892, 100, 1537, 33, 22, 2.8, 0
653, 81, 2654, 7983, 99, 1537, 33, 22, 2.73, 0
656, 82, 2686, 8067, 99, 1537, 33, 22, 2.75, 0
662, 83, 2718, 8164, 100, 1537, 33, 22, 2.82, 0
668, 84, 2750, 8257, 99, 1537, 33, 22, 2.85, 0
675, 85, 2782, 8344, 99, 1537, 33, 22, 2.85, 0
682, 86, 2814, 8419, 99, 1537, 33, 22, 2.61, 0
688, 87, 2846, 8513, 99, 1537, 33, 22, 2.65, 0
698, 88, 2878, 8597, 100, 1537, 33, 22, 2.63, 0
705, 89, 2910, 8677, 99, 1537, 33, 22, 2.67, 0
713, 90, 2942, 8771, 100, 1537, 33, 22, 2.69, 0
720, 91, 2974, 8851, 99, 1537, 33, 22, 2.58, 0
729, 92, 3006, 8943, 99, 1537, 33, 22, 2.73, 0
738, 93, 3038, 9025, 99, 1537, 33, 22, 2.66, 0
745, 94, 3070, 9101, 99, 1537, 33, 22, 2.57, 0
754, 95, 3102, 9183, 99, 1537, 33, 22, 2.49, 0
760, 96, 3134, 9268, 100, 1537, 33, 22, 2.52, 0
766, 97, 3166, 9372, 99, 1537, 33, 22, 2.77, 0
784, 98, 3198, 9461, 99, 1537, 33, 22, 2.85, 0
799, 99, 3230, 9544, 98, 1537, 33, 22, 2.82, 0
805, 100, 3262, 9630, 99, 1537, 33, 22, 2.64, 0
817, 101, 3294, 9707, 99, 1537, 33, 22, 2.55, 0
822, 102, 3326, 9791, 99, 1537, 33, 22, 2.51, 0
835, 103, 3358, 9885, 99, 1537, 33, 22, 2.65, 0
841, 104, 3390, 9958, 98, 1537, 33, 22, 2.55, 0
850, 105, 3422, 10061, 99, 1537, 33, 22, 2.79, 0
853, 106, 3454, 10137, 99, 1537, 33, 22, 2.6, 0
862, 107, 3486, 10236, 99, 1537, 33, 22, 2.83, 0
875, 108, 3518, 10329, 99, 1537, 33, 22, 2.74, 0
879, 109, 3550, 10405, 99, 1537, 33, 22, 2.77, 0
894, 110, 3582, 10487, 99, 1537, 33, 22, 2.57, 0
904, 111, 3614, 10568, 98, 1537, 33, 22, 2.47, 0
913, 112, 3646, 10663, 97, 1537, 33, 22, 2.65, 0
920, 113, 3678, 10751, 96, 1537, 33, 22, 2.69, 0
928, 114, 3710, 10861, 95, 1537, 33, 22, 2.97, 0
945, 115, 3742, 10942, 95, 1537, 33, 22, 2.88, 0
954, 116, 3774, 11015, 99, 1537, 33, 22, 2.71, 0
962, 117, 3806, 11102, 98, 1537, 33, 22, 2.49, 0
972, 118, 3838, 11201, 97, 1537, 33, 22, 2.66, 0
988, 119, 3870, 11305, 96, 1537, 33, 22, 2.96, 0
996, 120, 3902, 11389, 99, 1538, 33, 22, 2.95, 0
1001, 121, 3934, 11478, 99, 1538, 33, 22, 2.84, 0
1008, 122, 3966, 11576, 98, 1538, 33, 22, 2.8, 0
1013, 123, 3998, 11659, 99, 1538, 33, 22, 2.77, 0
1018, 124, 4030, 11757, 99, 1538, 33, 22, 2.87, 0
1025, 125, 4062, 11831, 99, 1538, 33, 22, 2.63, 0
1033, 126, 4094, 11901, 99, 1538, 33, 22, 2.5, 0
1040, 127, 4126, 12002, 99, 1538, 33, 22, 2.55, 0
1053, 128, 4158, 12085, 98, 1538, 33, 22, 2.59, 0
1058, 129, 4190, 12178, 97, 1538, 33, 22, 2.85, 0
1069, 130, 4222, 12275, 99, 1538, 33, 22, 2.84, 0
1080, 131, 4254, 12368, 99, 1538, 33, 22, 2.89, 0
1095, 132, 4286, 12458, 99, 1538, 33, 22, 2.9, 0
1105, 133, 4318, 12541, 99, 1538, 33, 22, 2.76, 0
1114, 134, 4350, 12638, 99, 1538, 33, 22, 2.79, 0
1126, 135, 4382, 12726, 99, 1538, 33, 22, 2.74, 0
1133, 136, 4414, 12813, 99, 1538, 33, 22, 2.79, 0
1144, 137, 4446, 12905, 99, 1538, 33, 22, 2.71, 0
1152, 138, 4478, 13011, 99, 1538, 33, 22, 2.95, 0
1157, 139, 4510, 13099, 99, 1538, 33, 22, 2.91, 0
1171, 140, 4542, 13167, 98, 1538, 33, 22, 2.68, 0
1178, 141, 4574, 13266, 98, 1538, 33, 22, 2.64, 0
1188, 142, 4606, 13341, 97, 1538, 33, 22, 2.53, 0
1201, 143, 4638, 13437, 96, 1538, 33, 22, 2.74, 0
1207, 144, 4670, 13508, 99, 1538, 33, 22, 2.51, 0
1213, 145, 4702, 13582, 100, 1538, 33, 22, 2.46, 0
1217, 146, 4734, 13661, 100, 1538, 33, 22, 2.31, 0
1224, 147, 4766, 13740, 99, 1538, 33, 22, 2.39, 0
1240, 148, 4798, 13842, 99, 1538, 33, 22, 2.67, 0
1245, 149, 4830, 13943, 98, 1538, 33, 22, 2.92, 0
1248, 150, 4862, 14021, 99, 1538, 33, 22, 2.86, 0
1254, 151, 4894, 14112, 99, 1538, 33, 22, 2.8, 0
1268, 152, 4926, 14198, 99, 1538, 33, 22, 2.62, 0
1273, 153, 4958, 14276, 99, 1538, 33, 22, 2.61, 0
1279, 154, 4990, 14358, 100, 1538, 33, 22, 2.56, 0
1284, 155, 5022, 14437, 99, 1538, 33, 22, 2.46, 0
1293, 156, 5054, 14534, 100, 1538, 33, 22, 2.68, 0
1300, 157, 5086, 14621, 99, 1538, 33, 22, 2.72, 0
1307, 158, 5118, 14712, 98, 1538, 33, 22, 2.81, 0
1316, 159, 5150, 14808, 98, 1538, 33, 22, 2.82, 0
1319, 160, 5182, 14891, 99, 1543, 33, 22, 2.83, 0
1326, 161, 5214, 14981, 98, 1543, 33, 22, 2.74, 0
1332, 162, 5246, 15073, 100, 1543, 33, 22, 2.7, 0
1337, 163, 5278, 15159, 99, 1543, 33, 22, 2.74, 0
1343, 164, 5310, 15250, 98, 1543, 33, 22, 2.76, 0
1348, 165, 5342, 15332, 98, 1543, 33, 22, 2.67, 0
1353, 166, 5374, 15411, 99, 1543, 33, 22, 2.57, 0
1362, 167, 5406, 15492, 99, 1543, 33, 22, 2.51, 0
1367, 168, 5438, 15574, 99, 1543, 33, 22, 2.48, 0
1374, 169, 5470, 15659, 98, 1543, 33, 22, 2.54, 0
1380, 170, 5502, 15745, 98, 1543, 33, 22, 2.58, 0
1392, 171, 5534, 15841, 97, 1543, 33, 22, 2.73, 0
1399, 172, 5566, 15927, 97, 1543, 33, 22, 2.73, 0
1413, 173, 5598, 16018, 96, 1543, 33, 22, 2.79, 0
1419, 174, 5630, 16119, 99, 1543, 33, 22, 2.82, 0
1431, 175, 5662, 16225, 99, 1543, 33, 22, 3.06, 0
1440, 176, 5694, 16323, 98, 1543, 33, 22, 3.16, 0
1454, 177, 5726, 16418, 99, 1543, 33, 22, 3.16, 0
1459, 178, 5758, 16516, 99, 1543, 33, 22, 3.05, 0
1466, 179, 5790, 16597, 99, 1543, 33, 22, 2.88, 0
1479, 180, 5822, 16689, 98, 1543, 33, 22, 2.84, 0
1486, 181, 5854, 16786, 98, 1543, 33, 22, 2.82, 0
1500, 182, 5886, 16870, 97, 1543, 33, 22, 2.84, 0
1506, 183, 5918, 16963, 97, 1543, 33, 22, 2.78, 0
1514, 184, 5950, 17054, 99, 1543, 33, 22, 2.8, 0
1530, 185, 5982, 17144, 99, 1543, 33, 22, 2.87, 0
1539, 186, 6014, 17238, 98, 1543, 33, 22, 2.91, 0
1545, 187, 6046, 17320, 98, 1543, 33, 22, 2.76, 0
1550, 188, 6078, 17423, 97, 1543, 33, 22, 3.01, 0
1554, 189, 6110, 17510, 97, 1543, 33, 22, 2.78, 0
1563, 190, 6142, 17612, 99, 1543, 33, 22, 3.01, 0
1570, 191, 6174, 17695, 99, 1543, 33, 22, 2.86, 0
1578, 192, 6206, 17774, 98, 1543, 33, 22, 2.78, 0
1587, 193, 6238, 17869, 98, 1543, 33, 22, 2.83, 0
1601, 194, 6270, 17963, 99, 1543, 33, 22, 2.79, 0
1614, 195, 6302, 18073, 99, 1543, 33, 22, 3.11, 0
1619, 196, 6334, 18161, 99, 1543, 33, 22, 3.11, 0
1625, 197, 6366, 18256, 98, 1543, 33, 22, 3.07, 0
1629, 198, 6398, 18363, 98, 1543, 33, 22, 3.06, 0
1636, 199, 6430, 18469, 97, 1543, 33, 22, 3.23, 0
1644, 200, 6462, 18568, 97, 1543, 33, 22, 3.3, 0
1656, 201, 6494, 18657, 96, 1543, 33, 22, 3.14, 0
1668, 202, 6526, 18763, 96, 1543, 33, 22, 3.0, 0
1675, 203, 6558, 18855, 95, 1543, 33, 22, 3.05, 0
1682, 204, 6590, 18945, 95, 1543, 33, 22, 3.0, 0
1687, 205, 6622, 19038, 94, 1543, 33, 22, 2.83, 0
1694, 206, 6654, 19154, 99, 1543, 33, 22, 3.08, 0
1702, 207, 6686, 19241, 99, 1543, 33, 22, 3.01, 0
1708, 208, 6718, 19324, 99, 1543, 33, 22, 2.94, 0
1722, 209, 6750, 19420, 98, 1543, 33, 22, 2.77, 0
1728, 210, 6782, 19523, 98, 1543, 33, 22, 2.88, 0
1734, 211, 6814, 19628, 99, 1543, 33, 22, 3.14, 0
1738, 212, 6846, 19728, 99, 1543, 33, 22, 3.22, 0
1745, 213, 6878, 19824, 99, 1543, 33, 22, 3.15, 0
1752, 214, 6910, 19925, 98, 1543, 33, 22, 3.17, 0
1755, 215, 6942, 20012, 98, 1543, 33, 22, 2.98, 0
1765, 216, 6974, 20113, 97, 1543, 33, 22, 2.95, 0
1774, 217, 7006, 20214, 97, 1543, 33, 22, 3.05, 0
1781, 218, 7038, 20304, 96, 1543, 33, 22, 2.96, 0
1790, 219, 7070, 20411, 99, 1543, 33, 22, 3.15, 0
1799, 220, 7102, 20515, 99, 1543, 33, 22, 3.2, 0
1803, 221, 7108, 20537, 99, 1543, 33, 22, 3.18, 0
