time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
9, 0, 60, 296, 100, 569, 13, 9, 4.933333333333334, 0
13, 1, 90, 514, 100, 600, 15, 9, 5.711111111111111, 0
22, 2, 120, 765, 100, 604, 15, 9, 6.97, 0
25, 3, 150, 984, 100, 673, 16, 10, 7.57, 0
39, 4, 180, 1210, 100, 738, 17, 11, 7.65, 0
47, 5, 210, 1431, 100, 782, 17, 12, 7.43, 0
55, 6, 240, 1655, 100, 782, 17, 12, 7.47, 0
62, 7, 270, 1846, 100, 819, 17, 12, 6.96, 0
74, 8, 300, 2047, 100, 948, 18, 14, 6.74, 0
90, 9, 330, 2236, 100, 977, 20, 15, 6.39, 0
100, 10, 360, 2407, 100, 999, 21, 15, 6.22, 0
116, 11, 390, 2611, 100, 1029, 22, 15, 6.35, 0
119, 12, 420, 2780, 100, 1110, 23, 17, 6.09, 0
128, 13, 450, 2996, 100, 1188, 23, 18, 6.49, 0
137, 14, 480, 3160, 100, 1188, 23, 18, 6.14, 0
155, 15, 510, 3331, 100, 1213, 24, 18, 5.98, 0
167, 16, 540, 3499, 100, 1228, 24, 18, 5.79, 0
169, 17, 570, 3658, 100, 1241, 25, 19, 5.46, 0
171, 18, 600, 3792, 100, 1257, 25, 19, 5.17, 0
174, 19, 630, 3944, 100, 1285, 27, 19, 4.89, 0
176, 20, 660, 4080, 100, 1286, 27, 19, 4.65, 0
181, 21, 690, 4247, 100, 1308, 27, 20, 5.11, 0
184, 22, 720, 4370, 100, 1313, 27, 20, 4.87, 0
188, 23, 750, 4504, 100, 1314, 27, 20, 4.76, 0
193, 24, 780, 4695, 100, 1323, 27, 20, 4.9, 0
195, 25, 810, 4841, 100, 1332, 28, 20, 5.07, 0
199, 26, 840, 5020, 99, 1332, 28, 20, 5.45, 0
206, 27, 870, 5188, 100, 1341, 28, 20, 5.65, 0
217, 28, 900, 5320, 100, 1341, 28, 20, 5.16, 0
231, 29, 930, 5458, 100, 1341, 28, 20, 5.0, 0
247, 30, 960, 5573, 100, 1352, 29, 20, 4.43, 0
256, 31, 990, 5700, 100, 1353, 29, 20, 4.17, 0
261, 32, 1020, 5826, 100, 1354, 29, 20, 4.18, 0
274, 33, 1050, 5922, 100, 1374, 29, 20, 3.86, 0
304, 34, 1080, 6094, 100, 1374, 29, 20, 4.38, 0
312, 35, 1110, 6187, 100, 1374, 29, 20, 4.1, 0
316, 36, 1140, 6277, 100, 1375, 29, 20, 3.89, 0
324, 37, 1170, 6354, 100, 1393, 29, 21, 3.22, 0
334, 38, 1200, 6475, 100, 1410, 29, 21, 3.17, 0
340, 39, 1230, 6573, 100, 1410, 29, 21, 3.22, 0
342, 40, 1260, 6658, 100, 1410, 29, 21, 3.38, 0
355, 41, 1290, 6760, 100, 1410, 29, 21, 3.22, 0
362, 42, 1320, 6825, 100, 1411, 29, 21, 2.9, 0
365, 43, 1350, 6950, 99, 1411, 29, 21, 3.26, 0
367, 44, 1380, 7038, 100, 1411, 29, 21, 3.21, 0
369, 45, 1410, 7127, 99, 1411, 29, 21, 3.28, 0
371, 46, 1440, 7208, 100, 1411, 29, 21, 2.96, 0
373, 47, 1470, 7288, 100, 1411, 29, 21, 2.79, 0
378, 48, 1500, 7362, 99, 1411, 29, 21, 2.64, 0
383, 49, 1530, 7456, 100, 1413, 29, 21, 2.87, 0
385, 50, 1560, 7535, 99, 1413, 29, 21, 2.69, 0
394, 51, 1590, 7616, 100, 1413, 29, 21, 2.83, 0
411, 52, 1620, 7693, 100, 1413, 29, 21, 2.74, 0
426, 53, 1650, 7774, 100, 1413, 29, 21, 2.65, 0
430, 54, 1680, 7857, 100, 1413, 29, 21, 2.76, 0
444, 55, 1710, 7933, 99, 1413, 29, 21, 2.58, 0
455, 56, 1740, 8009, 100, 1414, 29, 21, 2.62, 0
459, 57, 1770, 8078, 100, 1416, 29, 21, 2.5, 0
466, 58, 1800, 8151, 99, 1416, 29, 21, 2.41, 0
468, 59, 1830, 8222, 99, 1416, 29, 21, 2.42, 0
471, 60, 1860, 8298, 100, 1416, 29, 21, 2.41, 0
473, 61, 1890, 8364, 99, 1416, 29, 21, 2.39, 0
478, 62, 1920, 8431, 99, 1416, 29, 21, 2.4, 0
486, 63, 1950, 8504, 99, 1416, 29, 21, 2.41, 0
488, 64, 1980, 8567, 100, 1416, 29, 21, 2.2, 0
494, 65, 2010, 8625, 100, 1430, 29, 21, 2.14, 0
501, 66, 2040, 8692, 99, 1430, 29, 21, 2.09, 0
505, 67, 2070, 8742, 100, 1444, 29, 21, 1.97, 0
511, 68, 2100, 8811, 99, 1444, 29, 21, 2.04, 0
518, 69, 2130, 8871, 99, 1445, 29, 21, 2.01, 0
523, 70, 2160, 8920, 100, 1452, 30, 21, 1.93, 0
541, 71, 2190, 8973, 99, 1452, 30, 21, 1.92, 0
558, 72, 2220, 9035, 100, 1452, 30, 21, 1.82, 0
566, 73, 2250, 9093, 99, 1452, 30, 21, 1.91, 0
568, 74, 2280, 9160, 99, 1452, 30, 21, 2.04, 0
570, 75, 2310, 9226, 99, 1452, 30, 21, 2.16, 0
580, 76, 2340, 9286, 99, 1452, 30, 21, 2.13, 0
596, 77, 2370, 9355, 100, 1453, 30, 21, 2.19, 0
609, 78, 2400, 9415, 100, 1453, 30, 21, 2.15, 0
624, 79, 2430, 9484, 99, 1453, 30, 21, 2.21, 0
646, 80, 2460, 9542, 99, 1453, 30, 21, 2.11, 0
655, 81, 2490, 9606, 100, 1453, 30, 21, 2.11, 0
672, 82, 2520, 9670, 100, 1453, 30, 21, 2.12, 0
683, 83, 2550, 9733, 100, 1453, 30, 21, 2.11, 0
684, 84, 2580, 9791, 100, 1454, 30, 21, 2.11, 0
691, 85, 2610, 9853, 99, 1454, 30, 21, 2.08, 0
699, 86, 2640, 9919, 99, 1454, 30, 21, 2.07, 0
708, 87, 2670, 9987, 100, 1454, 30, 21, 2.16, 0
717, 88, 2700, 10053, 99, 1454, 30, 21, 2.25, 0
730, 89, 2730, 10119, 100, 1456, 30, 21, 2.24, 0
742, 90, 2760, 10186, 99, 1456, 30, 21, 2.26, 0
752, 91, 2790, 10253, 100, 1456, 30, 21, 2.24, 0
