time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 2, 2, 100, 124, 0, 3, 1.0, 0
0, 1, 4, 4, 100, 136, 0, 3, 1.0, 0
0, 2, 6, 6, 83, 152, 1, 4, 1.0, 0
0, 3, 8, 8, 100, 227, 1, 5, 1.0, 0
0, 4, 10, 10, 100, 254, 2, 6, 1.0, 0
0, 5, 12, 12, 100, 288, 4, 7, 1.0, 0
0, 6, 14, 14, 100, 297, 4, 7, 1.0, 0
0, 7, 16, 16, 100, 310, 4, 8, 1.0, 0
0, 8, 18, 18, 100, 339, 4, 8, 1.0, 0
0, 9, 20, 20, 100, 351, 5, 9, 1.0, 0
0, 10, 22, 22, 100, 371, 6, 9, 1.0, 0
0, 11, 24, 24, 100, 380, 7, 9, 1.0, 0
0, 12, 26, 26, 100, 397, 8, 10, 1.0, 0
0, 13, 28, 28, 100, 398, 8, 10, 1.0, 0
0, 14, 30, 30, 96, 399, 8, 10, 1.0, 0
0, 15, 32, 32, 100, 406, 8, 10, 1.0, 0
0, 16, 34, 34, 97, 439, 8, 11, 1.0, 0
0, 17, 36, 36, 97, 454, 8, 11, 1.0, 0
0, 18, 38, 38, 100, 501, 8, 12, 1.0, 0
0, 19, 40, 40, 100, 513, 9, 12, 1.0, 0
1, 20, 42, 42, 97, 535, 9, 13, 1.0, 0
1, 21, 44, 44, 100, 543, 9, 13, 1.0, 0
1, 22, 46, 46, 100, 550, 10, 13, 1.0, 0
1, 23, 48, 48, 100, 553, 10, 13, 1.0, 0
1, 24, 50, 50, 100, 556, 11, 13, 1.0, 0
1, 25, 52, 52, 98, 559, 12, 13, 1.0, 0
1, 26, 54, 54, 100, 561, 12, 13, 1.0, 0
1, 27, 56, 56, 100, 567, 12, 13, 1.0, 0
1, 28, 58, 58, 100, 593, 12, 14, 1.0, 0
1, 29, 60, 60, 100, 603, 12, 14, 1.0, 0
1, 30, 62, 62, 100, 632, 12, 15, 1.0, 0
1, 31, 64, 64, 100, 644, 13, 15, 1.0, 0
1, 32, 66, 66, 100, 648, 13, 15, 1.0, 0
1, 33, 68, 68, 100, 653, 13, 15, 1.0, 0
1, 34, 70, 70, 100, 690, 13, 16, 1.0, 0
1, 35, 72, 72, 100, 702, 13, 16, 1.0, 0
1, 36, 74, 74, 100, 716, 14, 16, 1.0, 0
1, 37, 76, 76, 100, 717, 14, 16, 1.0, 0
1, 38, 78, 78, 98, 722, 14, 16, 1.0, 0
2, 39, 80, 80, 98, 728, 15, 17, 1.0, 0
2, 40, 82, 82, 98, 729, 15, 17, 1.0, 0
2, 41, 84, 84, 100, 750, 15, 17, 1.0, 0
2, 42, 86, 86, 100, 754, 16, 17, 1.0, 0
2, 43, 88, 88, 100, 762, 17, 17, 1.0, 0
2, 44, 90, 90, 100, 766, 18, 17, 1.0, 0
2, 45, 92, 92, 100, 770, 19, 17, 1.0, 0
2, 46, 94, 94, 100, 771, 19, 17, 1.0, 0
2, 47, 96, 96, 98, 772, 19, 17, 1.0, 0
2, 48, 98, 98, 100, 776, 19, 17, 1.0, 0
2, 49, 100, 100, 99, 776, 19, 17, 1.0, 0
2, 50, 102, 102, 97, 776, 19, 17, 1.0, 0
2, 51, 104, 104, 99, 776, 19, 17, 1.0, 0
2, 52, 106, 106, 100, 786, 19, 18, 1.0, 0
2, 53, 108, 108, 100, 786, 19, 18, 1.0, 0
2, 54, 110, 110, 99, 789, 19, 18, 1.0, 0
2, 55, 112, 112, 97, 789, 19, 18, 1.0, 0
2, 56, 114, 114, 100, 789, 19, 18, 1.0, 0
2, 57, 116, 116, 99, 798, 19, 18, 1.0, 0
2, 58, 118, 118, 100, 798, 19, 18, 1.0, 0
2, 59, 120, 120, 100, 798, 19, 18, 1.0, 0
2, 60, 122, 122, 98, 798, 19, 18, 1.0, 0
2, 61, 124, 124, 99, 798, 19, 18, 1.0, 0
3, 62, 126, 126, 97, 798, 19, 18, 1.0, 0
3, 63, 128, 128, 100, 798, 19, 18, 1.0, 0
3, 64, 130, 130, 100, 798, 19, 18, 1.0, 0
3, 65, 132, 132, 99, 803, 19, 18, 1.0, 0
3, 66, 134, 134, 99, 814, 19, 18, 1.0, 0
3, 67, 136, 136, 97, 814, 19, 18, 1.0, 0
3, 68, 138, 138, 99, 815, 19, 18, 1.0, 0
3, 69, 140, 140, 100, 816, 19, 18, 1.0, 0
3, 70, 142, 142, 100, 817, 19, 18, 1.0, 0
3, 71, 144, 144, 100, 818, 19, 18, 1.0, 0
3, 72, 146, 146, 98, 818, 19, 18, 1.0, 0
3, 73, 148, 148, 97, 818, 19, 18, 1.0, 0
3, 74, 150, 150, 100, 818, 19, 18, 1.0, 0
3, 75, 152, 152, 98, 818, 19, 18, 1.0, 0
3, 76, 154, 154, 100, 818, 19, 18, 1.0, 0
3, 77, 156, 156, 98, 818, 19, 18, 1.0, 0
3, 78, 158, 158, 97, 818, 19, 18, 1.0, 0
3, 79, 160, 160, 100, 825, 19, 18, 1.0, 0
3, 80, 162, 162, 99, 826, 19, 18, 1.0, 0
3, 81, 164, 164, 99, 830, 19, 18, 1.0, 0
3, 82, 166, 166, 98, 830, 19, 18, 1.0, 0
3, 83, 168, 168, 100, 831, 19, 18, 1.0, 0
3, 84, 170, 170, 98, 831, 19, 18, 1.0, 0
3, 85, 172, 172, 100, 831, 19, 18, 1.0, 0
3, 86, 174, 174, 100, 840, 20, 18, 1.0, 0
3, 87, 176, 176, 100, 840, 20, 18, 1.0, 0
3, 88, 178, 178, 98, 840, 20, 18, 1.0, 0
3, 89, 180, 180, 100, 840, 20, 18, 1.0, 0
3, 90, 182, 182, 99, 845, 21, 18, 1.0, 0
3, 91, 184, 184, 98, 845, 21, 18, 1.0, 0
3, 92, 186, 186, 97, 845, 21, 18, 1.0, 0
3, 93, 188, 188, 96, 845, 21, 18, 1.0, 0
3, 94, 190, 190, 100, 845, 21, 18, 1.0, 0
3, 95, 192, 192, 100, 845, 21, 18, 1.0, 0
3, 96, 194, 194, 100, 845, 21, 18, 1.0, 0
3, 97, 196, 196, 98, 845, 21, 18, 1.0, 0
3, 98, 198, 198, 100, 848, 22, 18, 1.0, 0
3, 99, 200, 200, 100, 848, 22, 18, 1.0, 0
3, 100, 202, 202, 100, 849, 22, 18, 1.0, 0
4, 101, 204, 204, 100, 849, 22, 18, 1.0, 0
4, 102, 206, 206, 100, 850, 22, 18, 1.0, 0
4, 103, 208, 208, 99, 850, 22, 18, 1.0, 0
4, 104, 210, 210, 100, 850, 22, 18, 1.0, 0
4, 105, 212, 212, 100, 850, 22, 18, 1.0, 0
4, 106, 214, 214, 100, 857, 22, 18, 1.0, 0
4, 107, 216, 216, 100, 857, 22, 18, 1.0, 0
4, 108, 218, 218, 100, 857, 22, 18, 1.0, 0
4, 109, 220, 220, 100, 857, 22, 18, 1.0, 0
4, 110, 222, 222, 99, 858, 22, 18, 1.0, 0
4, 111, 224, 224, 98, 858, 22, 18, 1.0, 0
4, 112, 226, 226, 97, 858, 22, 18, 1.0, 0
4, 113, 228, 228, 100, 858, 22, 18, 1.0, 0
4, 114, 230, 230, 100, 858, 22, 18, 1.0, 0
4, 115, 232, 232, 100, 858, 22, 18, 1.0, 0
4, 116, 234, 234, 100, 858, 22, 18, 1.0, 0
4, 117, 236, 236, 99, 858, 22, 18, 1.0, 0
4, 118, 238, 238, 98, 858, 22, 18, 1.0, 0
4, 119, 240, 240, 97, 858, 22, 18, 1.0, 0
4, 120, 242, 242, 99, 859, 22, 18, 1.0, 0
4, 121, 244, 244, 98, 859, 22, 18, 1.0, 0
4, 122, 246, 246, 99, 860, 22, 18, 1.0, 0
4, 123, 248, 248, 99, 861, 22, 18, 1.0, 0
4, 124, 250, 250, 100, 861, 22, 18, 1.0, 0
4, 125, 252, 252, 100, 861, 22, 18, 1.0, 0
4, 126, 254, 254, 99, 861, 22, 18, 1.0, 0
4, 127, 256, 256, 100, 861, 22, 18, 1.0, 0
4, 128, 258, 258, 99, 861, 22, 18, 1.0, 0
4, 129, 260, 260, 98, 861, 22, 18, 1.0, 0
4, 130, 262, 262, 100, 861, 22, 18, 1.0, 0
4, 131, 264, 264, 100, 861, 22, 18, 1.0, 0
4, 132, 266, 266, 99, 861, 22, 18, 1.0, 0
4, 133, 268, 268, 99, 876, 22, 19, 1.0, 0
4, 134, 270, 270, 99, 877, 22, 19, 1.0, 0
4, 135, 272, 272, 100, 878, 22, 19, 1.0, 0
4, 136, 274, 274, 100, 878, 22, 19, 1.0, 0
4, 137, 276, 276, 99, 878, 22, 19, 1.0, 0
4, 138, 278, 278, 99, 933, 22, 20, 1.0, 0
4, 139, 280, 280, 99, 933, 22, 20, 1.0, 0
4, 140, 282, 282, 98, 933, 22, 20, 1.0, 0
4, 141, 284, 284, 100, 933, 22, 20, 1.0, 0
5, 142, 286, 286, 100, 933, 22, 20, 1.0, 0
5, 143, 288, 288, 100, 934, 22, 20, 1.0, 0
5, 144, 290, 290, 100, 934, 22, 20, 1.0, 0
5, 145, 292, 292, 99, 934, 22, 20, 1.0, 0
5, 146, 294, 294, 98, 934, 22, 20, 1.0, 0
5, 147, 296, 296, 100, 935, 22, 20, 1.0, 0
5, 148, 298, 298, 100, 936, 22, 20, 1.0, 0
5, 149, 300, 300, 99, 937, 22, 20, 1.0, 0
5, 150, 302, 302, 100, 947, 22, 20, 1.0, 0
5, 151, 304, 304, 99, 948, 22, 20, 1.0, 0
5, 152, 306, 306, 100, 949, 22, 20, 1.0, 0
5, 153, 308, 308, 99, 949, 22, 20, 1.0, 0
5, 154, 310, 310, 99, 950, 22, 20, 1.0, 0
5, 155, 312, 312, 99, 950, 22, 20, 1.0, 0
5, 156, 314, 314, 99, 951, 22, 20, 1.0, 0
5, 157, 316, 316, 100, 952, 22, 20, 1.0, 0
5, 158, 318, 318, 100, 953, 22, 20, 1.0, 0
5, 159, 320, 320, 99, 954, 22, 20, 1.0, 0
5, 160, 322, 322, 99, 955, 22, 20, 1.0, 0
5, 161, 324, 324, 99, 956, 22, 20, 1.0, 0
5, 162, 326, 326, 100, 956, 22, 20, 1.0, 0
5, 163, 328, 328, 99, 957, 22, 20, 1.0, 0
5, 164, 330, 330, 99, 958, 22, 20, 1.0, 0
5, 165, 332, 332, 100, 959, 22, 20, 1.0, 0
5, 166, 334, 334, 99, 960, 22, 20, 1.0, 0
5, 167, 336, 336, 99, 961, 22, 20, 1.0, 0
5, 168, 338, 338, 99, 962, 22, 20, 1.0, 0
5, 169, 340, 340, 99, 963, 22, 20, 1.0, 0
5, 170, 342, 342, 100, 963, 22, 20, 1.0, 0
5, 171, 344, 344, 100, 964, 22, 20, 1.0, 0
5, 172, 346, 346, 100, 965, 22, 20, 1.0, 0
5, 173, 348, 348, 100, 965, 22, 20, 1.0, 0
5, 174, 350, 350, 100, 965, 22, 20, 1.0, 0
5, 175, 352, 352, 99, 965, 22, 20, 1.0, 0
5, 176, 354, 354, 99, 966, 22, 20, 1.0, 0
5, 177, 356, 356, 100, 966, 22, 20, 1.0, 0
5, 178, 358, 358, 100, 967, 22, 20, 1.0, 0
5, 179, 360, 360, 99, 968, 22, 20, 1.0, 0
5, 180, 362, 362, 99, 968, 22, 20, 1.0, 0
5, 181, 364, 364, 100, 969, 22, 20, 1.0, 0
5, 182, 366, 366, 99, 969, 22, 20, 1.0, 0
5, 183, 368, 368, 99, 970, 22, 20, 1.0, 0
6, 184, 370, 370, 99, 971, 22, 20, 1.0, 0
6, 185, 372, 372, 99, 971, 22, 20, 1.0, 0
6, 186, 374, 374, 100, 971, 22, 20, 1.0, 0
6, 187, 376, 376, 100, 972, 22, 20, 1.0, 0
6, 188, 378, 378, 99, 972, 22, 20, 1.0, 0
6, 189, 380, 380, 100, 973, 22, 20, 1.0, 0
6, 190, 382, 382, 100, 974, 22, 20, 1.0, 0
6, 191, 384, 384, 100, 975, 22, 20, 1.0, 0
6, 192, 386, 386, 99, 976, 22, 20, 1.0, 0
6, 193, 388, 388, 100, 977, 22, 20, 1.0, 0
6, 194, 390, 390, 99, 978, 22, 20, 1.0, 0
6, 195, 392, 392, 99, 978, 22, 20, 1.0, 0
6, 196, 393, 393, 98, 978, 22, 20, 1.0, 0
6, 197, 394, 394, 98, 978, 22, 20, 1.0, 0
6, 198, 396, 405, 100, 981, 23, 20, 1.09, 0
6, 199, 397, 406, 99, 981, 23, 20, 1.09, 0
6, 200, 399, 409, 99, 981, 23, 20, 1.1, 0
6, 201, 400, 410, 100, 981, 23, 20, 1.1, 0
6, 202, 401, 411, 99, 981, 23, 20, 1.1, 0
