time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 62, 89, 100, 681, 13, 15, 1.435483870967742, 0
1, 1, 94, 152, 100, 741, 14, 16, 1.6170212765957446, 0
1, 2, 126, 219, 100, 892, 14, 20, 1.93, 0
2, 3, 158, 282, 100, 929, 17, 21, 1.99, 0
2, 4, 190, 352, 100, 937, 18, 21, 2.05, 0
2, 5, 222, 419, 100, 958, 18, 21, 2.08, 0
3, 6, 254, 493, 100, 977, 19, 21, 2.17, 0
3, 7, 286, 558, 100, 1006, 19, 22, 2.14, 0
4, 8, 318, 625, 100, 1018, 21, 22, 2.12, 0
4, 9, 350, 691, 99, 1029, 22, 22, 2.04, 0
5, 10, 382, 755, 100, 1037, 23, 22, 2.02, 0
5, 11, 414, 816, 99, 1041, 23, 23, 1.97, 0
6, 12, 446, 882, 100, 1046, 24, 23, 1.98, 0
7, 13, 478, 961, 100, 1055, 25, 23, 2.11, 0
7, 14, 510, 1026, 100, 1075, 25, 23, 2.14, 0
8, 15, 542, 1099, 99, 1075, 25, 23, 2.22, 0
8, 16, 574, 1174, 99, 1075, 25, 23, 2.21, 0
8, 17, 606, 1247, 100, 1075, 25, 23, 2.28, 0
9, 18, 638, 1330, 100, 1104, 25, 24, 2.37, 0
9, 19, 670, 1388, 100, 1110, 25, 24, 2.2, 0
9, 20, 702, 1456, 99, 1111, 25, 24, 2.18, 0
10, 21, 734, 1536, 99, 1111, 25, 24, 2.17, 0
10, 22, 766, 1610, 99, 1111, 25, 24, 2.27, 0
10, 23, 798, 1674, 100, 1116, 25, 24, 2.25, 0
11, 24, 830, 1740, 100, 1116, 25, 24, 2.1, 0
11, 25, 862, 1805, 100, 1132, 26, 24, 2.06, 0
11, 26, 894, 1874, 100, 1137, 26, 25, 2.06, 0
11, 27, 926, 1924, 99, 1137, 26, 25, 1.9, 0
12, 28, 958, 1982, 99, 1137, 26, 25, 1.83, 0
12, 29, 990, 2051, 99, 1137, 26, 25, 1.83, 0
12, 30, 1022, 2111, 99, 1139, 26, 25, 1.92, 0
13, 31, 1054, 2172, 100, 1141, 26, 25, 1.96, 0
13, 32, 1086, 2232, 100, 1147, 27, 25, 1.87, 0
13, 33, 1118, 2296, 99, 1147, 27, 25, 1.9, 0
14, 34, 1150, 2357, 99, 1147, 27, 25, 1.91, 0
14, 35, 1182, 2420, 99, 1148, 27, 25, 1.95, 0
14, 36, 1214, 2485, 99, 1148, 27, 25, 1.95, 0
14, 37, 1246, 2551, 100, 1148, 27, 25, 2.02, 0
15, 38, 1278, 2614, 100, 1148, 27, 25, 2.01, 0
15, 39, 1310, 2676, 100, 1148, 27, 25, 1.98, 0
15, 40, 1342, 2744, 99, 1148, 27, 25, 1.99, 0
16, 41, 1374, 2809, 99, 1148, 27, 25, 2.01, 0
16, 42, 1406, 2876, 99, 1148, 27, 25, 2.05, 0
16, 43, 1438, 2940, 99, 1148, 27, 25, 2.02, 0
16, 44, 1470, 3001, 99, 1148, 27, 25, 1.97, 0
17, 45, 1502, 3066, 99, 1148, 27, 25, 1.96, 0
17, 46, 1534, 3121, 99, 1148, 27, 25, 1.89, 0
17, 47, 1566, 3184, 100, 1149, 28, 25, 1.88, 0
17, 48, 1598, 3246, 100, 1149, 28, 25, 1.86, 0
18, 49, 1630, 3311, 99, 1149, 28, 25, 1.94, 0
18, 50, 1662, 3364, 99, 1150, 28, 25, 1.85, 0
18, 51, 1694, 3430, 99, 1150, 28, 25, 1.9, 0
19, 52, 1726, 3499, 99, 1150, 28, 25, 1.95, 0
19, 53, 1758, 3562, 99, 1150, 28, 25, 2.03, 0
19, 54, 1790, 3622, 99, 1186, 29, 26, 1.96, 0
19, 55, 1822, 3688, 100, 1197, 29, 26, 1.95, 0
20, 56, 1854, 3748, 99, 1197, 29, 26, 1.93, 0
20, 57, 1886, 3816, 99, 1213, 30, 26, 2.0, 0
20, 58, 1918, 3881, 100, 1213, 30, 26, 2.02, 0
21, 59, 1950, 3947, 99, 1213, 30, 26, 2.04, 0
21, 60, 1982, 4013, 99, 1239, 30, 27, 2.02, 0
21, 61, 2014, 4072, 99, 1239, 30, 27, 1.97, 0
21, 62, 2046, 4132, 99, 1239, 30, 27, 1.91, 0
