time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
3, 0, 60, 273, 100, 885, 17, 20, 4.55, 0
5, 1, 90, 446, 100, 903, 18, 20, 4.955555555555556, 0
7, 2, 120, 612, 98, 914, 19, 21, 5.38, 0
8, 3, 150, 759, 100, 943, 19, 21, 5.4, 0
9, 4, 180, 882, 100, 956, 21, 21, 4.87, 0
9, 5, 210, 999, 100, 958, 21, 21, 4.39, 0
11, 6, 240, 1134, 100, 971, 21, 22, 4.17, 0
13, 7, 270, 1288, 100, 991, 21, 22, 4.39, 0
14, 8, 300, 1394, 100, 999, 22, 22, 4.36, 0
15, 9, 330, 1533, 100, 1007, 23, 22, 4.32, 0
16, 10, 360, 1659, 100, 1013, 24, 22, 4.25, 0
17, 11, 390, 1772, 100, 1020, 24, 22, 4.1, 0
18, 12, 420, 1884, 100, 1021, 24, 22, 3.85, 0
18, 13, 450, 1988, 100, 1021, 24, 22, 3.66, 0
19, 14, 480, 2085, 100, 1021, 24, 22, 3.49, 0
20, 15, 510, 2172, 100, 1021, 24, 22, 3.22, 0
21, 16, 540, 2286, 100, 1021, 24, 22, 3.34, 0
21, 17, 570, 2394, 100, 1030, 24, 23, 3.29, 0
22, 18, 600, 2471, 100, 1031, 25, 23, 3.22, 0
23, 19, 630, 2570, 100, 1034, 25, 23, 3.14, 0
23, 20, 660, 2664, 99, 1035, 25, 23, 2.99, 0
24, 21, 690, 2726, 100, 1039, 26, 23, 2.75, 0
24, 22, 720, 2791, 100, 1060, 27, 23, 2.51, 0
25, 23, 750, 2871, 99, 1073, 27, 24, 2.56, 0
26, 24, 780, 2953, 100, 1075, 27, 24, 2.48, 0
26, 25, 810, 3036, 100, 1146, 27, 25, 2.64, 0
27, 26, 840, 3123, 100, 1157, 27, 26, 2.78, 0
27, 27, 870, 3185, 100, 1173, 28, 26, 2.6, 0
28, 28, 900, 3253, 99, 1173, 28, 26, 2.37, 0
29, 29, 930, 3326, 99, 1175, 28, 26, 2.41, 0
29, 30, 960, 3389, 100, 1186, 29, 26, 2.25, 0
30, 31, 990, 3472, 100, 1186, 29, 26, 2.36, 0
30, 32, 1020, 3543, 100, 1225, 30, 27, 2.41, 0
31, 33, 1050, 3609, 99, 1225, 30, 27, 2.41, 0
31, 34, 1080, 3677, 99, 1225, 30, 27, 2.37, 0
32, 35, 1110, 3750, 100, 1235, 30, 28, 2.34, 0
33, 36, 1140, 3826, 100, 1238, 30, 28, 2.41, 0
33, 37, 1170, 3898, 100, 1238, 30, 28, 2.48, 0
34, 38, 1200, 3970, 100, 1239, 30, 28, 2.48, 0
34, 39, 1230, 4029, 100, 1239, 30, 28, 2.3, 0
35, 40, 1260, 4109, 100, 1255, 32, 28, 2.31, 0
36, 41, 1290, 4209, 100, 1255, 32, 28, 2.68, 0
36, 42, 1320, 4293, 100, 1257, 32, 28, 2.88, 0
37, 43, 1350, 4387, 100, 1259, 32, 28, 3.05, 0
37, 44, 1380, 4478, 100, 1280, 32, 28, 2.95, 0
38, 45, 1410, 4529, 100, 1280, 32, 28, 2.65, 0
38, 46, 1440, 4640, 100, 1280, 32, 28, 2.79, 0
39, 47, 1470, 4706, 99, 1281, 32, 28, 2.67, 0
39, 48, 1500, 4785, 99, 1281, 32, 28, 2.68, 0
40, 49, 1530, 4854, 99, 1281, 32, 28, 2.43, 0
40, 50, 1560, 4923, 100, 1281, 32, 28, 2.43, 0
41, 51, 1590, 4991, 99, 1282, 33, 28, 2.37, 0
41, 52, 1620, 5050, 100, 1282, 33, 28, 2.25, 0
42, 53, 1650, 5113, 99, 1282, 33, 28, 2.16, 0
42, 54, 1680, 5179, 100, 1282, 33, 28, 2.17, 0
43, 55, 1710, 5242, 100, 1282, 33, 28, 2.11, 0
43, 56, 1740, 5302, 100, 1282, 33, 28, 2.1, 0
44, 57, 1770, 5371, 100, 1282, 33, 28, 2.16, 0
44, 58, 1800, 5422, 100, 1282, 33, 28, 2.0, 0
45, 59, 1830, 5482, 99, 1282, 33, 28, 2.0, 0
45, 60, 1860, 5545, 100, 1282, 33, 28, 1.95, 0
45, 61, 1890, 5612, 99, 1282, 33, 28, 2.02, 0
46, 62, 1920, 5699, 99, 1282, 33, 28, 2.4, 0
46, 63, 1950, 5771, 99, 1282, 33, 28, 2.54, 0
47, 64, 1980, 5840, 99, 1282, 33, 28, 2.52, 0
47, 65, 2010, 5908, 99, 1282, 33, 28, 2.47, 0
48, 66, 2040, 5974, 99, 1283, 33, 28, 2.3, 0
48, 67, 2070, 6029, 99, 1283, 33, 28, 2.18, 0
49, 68, 2100, 6095, 99, 1283, 33, 28, 2.12, 0
49, 69, 2130, 6159, 99, 1283, 33, 28, 2.1, 0
50, 70, 2160, 6220, 100, 1284, 33, 28, 2.08, 0
50, 71, 2190, 6282, 99, 1284, 33, 28, 2.07, 0
51, 72, 2220, 6338, 100, 1285, 33, 28, 1.96, 0
51, 73, 2250, 6406, 100, 1285, 33, 28, 2.07, 0
52, 74, 2280, 6457, 99, 1285, 33, 28, 2.0, 0
52, 75, 2310, 6524, 99, 1287, 33, 28, 2.02, 0
53, 76, 2340, 6584, 99, 1287, 33, 28, 2.05, 0
53, 77, 2370, 6644, 100, 1380, 33, 30, 2.03, 0
54, 78, 2400, 6705, 99, 1380, 33, 30, 2.07, 0
54, 79, 2430, 6767, 100, 1380, 33, 30, 1.99, 0
55, 80, 2460, 6838, 99, 1392, 34, 31, 2.14, 0
55, 81, 2490, 6905, 99, 1392, 34, 31, 2.18, 0
56, 82, 2520, 6970, 100, 1398, 34, 31, 2.27, 0
57, 83, 2550, 7063, 99, 1398, 34, 31, 2.58, 0
57, 84, 2580, 7160, 99, 1399, 34, 31, 2.79, 0
58, 85, 2610, 7252, 100, 1401, 35, 31, 3.06, 0
59, 86, 2640, 7348, 99, 1401, 35, 31, 3.28, 0
59, 87, 2670, 7406, 100, 1401, 35, 31, 2.84, 0
60, 88, 2700, 7484, 100, 1401, 35, 31, 2.58, 0
61, 89, 2730, 7551, 100, 1401, 35, 31, 2.35, 0
61, 90, 2760, 7615, 100, 1401, 35, 31, 2.27, 0
62, 91, 2790, 7682, 99, 1401, 35, 31, 2.2, 0
62, 92, 2820, 7738, 99, 1401, 35, 31, 2.09, 0
63, 93, 2850, 7805, 99, 1403, 35, 31, 2.13, 0
63, 94, 2880, 7865, 99, 1403, 35, 31, 2.12, 0
64, 95, 2910, 7931, 99, 1404, 35, 31, 2.14, 0
64, 96, 2940, 7999, 99, 1408, 35, 31, 2.29, 0
65, 97, 2970, 8062, 99, 1409, 35, 31, 2.2, 0
65, 98, 3000, 8119, 99, 1409, 35, 31, 2.12, 0
66, 99, 3030, 8176, 99, 1409, 35, 31, 2.05, 0
66, 100, 3060, 8235, 99, 1409, 35, 31, 1.96, 0
67, 101, 3090, 8296, 99, 1409, 35, 31, 1.97, 0
67, 102, 3120, 8371, 99, 1424, 35, 31, 2.16, 0
68, 103, 3150, 8442, 99, 1429, 35, 31, 2.27, 0
68, 104, 3180, 8505, 99, 1432, 36, 31, 2.3, 0
69, 105, 3210, 8571, 99, 1440, 37, 31, 2.36, 0
69, 106, 3240, 8636, 100, 1440, 37, 31, 2.24, 0
70, 107, 3270, 8704, 100, 1440, 37, 31, 2.16, 0
71, 108, 3300, 8776, 99, 1440, 37, 31, 2.33, 0
71, 109, 3330, 8838, 99, 1441, 37, 31, 2.28, 0
72, 110, 3360, 8903, 100, 1441, 37, 31, 2.24, 0
72, 111, 3390, 8957, 100, 1443, 37, 31, 2.07, 0
72, 112, 3420, 9010, 100, 1443, 37, 31, 1.92, 0
73, 113, 3450, 9073, 99, 1443, 37, 31, 1.92, 0
73, 114, 3480, 9130, 100, 1443, 37, 31, 1.96, 0
74, 115, 3510, 9184, 99, 1443, 37, 31, 1.95, 0
74, 116, 3540, 9240, 99, 1443, 37, 31, 1.96, 0
75, 117, 3570, 9306, 99, 1444, 38, 31, 1.92, 0
75, 118, 3600, 9364, 100, 1444, 38, 31, 1.97, 0
76, 119, 3630, 9419, 99, 1444, 38, 31, 1.98, 0
76, 120, 3660, 9471, 99, 1444, 38, 31, 1.87, 0
77, 121, 3690, 9532, 100, 1444, 38, 31, 1.85, 0
77, 122, 3720, 9600, 100, 1444, 38, 31, 2.06, 0
78, 123, 3750, 9655, 99, 1450, 38, 31, 2.0, 0
78, 124, 3780, 9721, 100, 1452, 39, 31, 2.11, 0
79, 125, 3810, 9780, 99, 1452, 39, 31, 2.05, 0
79, 126, 3840, 9832, 99, 1453, 39, 31, 1.94, 0
80, 127, 3870, 9904, 99, 1453, 39, 31, 2.05, 0
80, 128, 3900, 9961, 100, 1453, 39, 31, 2.03, 0
81, 129, 3930, 10044, 100, 1458, 39, 32, 2.26, 0
82, 130, 3960, 10112, 99, 1458, 39, 32, 2.39, 0
82, 131, 3990, 10225, 99, 1458, 39, 32, 2.83, 0
83, 132, 4020, 10321, 99, 1458, 39, 32, 3.13, 0
83, 133, 4050, 10406, 99, 1458, 39, 32, 3.25, 0
84, 134, 4080, 10466, 99, 1458, 39, 32, 2.72, 0
84, 135, 4110, 10543, 99, 1458, 39, 32, 2.52, 0
85, 136, 4140, 10596, 100, 1458, 39, 32, 2.12, 0
85, 137, 4170, 10661, 99, 1458, 39, 32, 2.1, 0
85, 138, 4200, 10746, 100, 1458, 39, 32, 2.27, 0
86, 139, 4230, 10807, 99, 1458, 39, 32, 2.33, 0
86, 140, 4260, 10865, 100, 1458, 39, 32, 2.32, 0
87, 141, 4290, 10937, 99, 1458, 39, 32, 2.16, 0
87, 142, 4320, 10989, 99, 1458, 39, 32, 2.02, 0
88, 143, 4350, 11055, 99, 1458, 39, 32, 2.08, 0
88, 144, 4380, 11114, 99, 1458, 39, 32, 2.1, 0
89, 145, 4410, 11181, 99, 1458, 39, 32, 2.08, 0
90, 146, 4440, 11243, 99, 1458, 39, 32, 2.18, 0
90, 147, 4470, 11300, 100, 1458, 39, 32, 2.04, 0
90, 148, 4500, 11365, 99, 1458, 39, 32, 2.05, 0
91, 149, 4530, 11436, 100, 1458, 39, 32, 2.15, 0
92, 150, 4560, 11504, 99, 1458, 39, 32, 2.22, 0
92, 151, 4590, 11561, 100, 1458, 39, 32, 2.19, 0
93, 152, 4620, 11618, 100, 1458, 39, 32, 2.09, 0
93, 153, 4650, 11682, 99, 1458, 39, 32, 2.02, 0
94, 154, 4680, 11739, 100, 1462, 40, 32, 1.97, 0
95, 155, 4710, 11793, 100, 1462, 40, 32, 1.93, 0
95, 156, 4740, 11853, 99, 1462, 40, 32, 1.93, 0
96, 157, 4770, 11919, 100, 1462, 40, 32, 2.02, 0
96, 158, 4800, 11987, 99, 1462, 40, 32, 2.15, 0
97, 159, 4830, 12045, 100, 1462, 40, 32, 2.13, 0
97, 160, 4860, 12091, 100, 1462, 40, 32, 1.92, 0
98, 161, 4890, 12152, 100, 1462, 40, 32, 1.92, 0
98, 162, 4920, 12212, 100, 1462, 40, 32, 1.86, 0
99, 163, 4950, 12267, 100, 1463, 40, 32, 1.9, 0
99, 164, 4980, 12332, 99, 1463, 40, 32, 1.97, 0
100, 165, 5010, 12394, 99, 1463, 40, 32, 2.08, 0
100, 166, 5040, 12444, 100, 1463, 40, 32, 1.92, 0
101, 167, 5070, 12499, 99, 1466, 41, 32, 1.91, 0
101, 168, 5100, 12561, 99, 1466, 41, 32, 1.89, 0
102, 169, 5130, 12620, 99, 1466, 41, 32, 1.93, 0
102, 170, 5160, 12675, 100, 1466, 41, 32, 1.96, 0
103, 171, 5190, 12743, 99, 1466, 41, 32, 2.06, 0
103, 172, 5220, 12799, 99, 1466, 41, 32, 1.98, 0
104, 173, 5250, 12864, 99, 1466, 41, 32, 2.05, 0
104, 174, 5280, 12925, 99, 1466, 41, 32, 2.14, 0
105, 175, 5310, 12996, 99, 1466, 41, 32, 2.19, 0
106, 176, 5340, 13048, 100, 1467, 41, 32, 2.08, 0
106, 177, 5370, 13111, 99, 1467, 41, 32, 2.1, 0
107, 178, 5400, 13226, 99, 1467, 41, 32, 2.65, 0
107, 179, 5430, 13278, 99, 1467, 41, 32, 2.47, 0
108, 180, 5460, 13344, 99, 1467, 41, 32, 2.58, 0
108, 181, 5490, 13412, 100, 1467, 41, 32, 2.26, 0
109, 182, 5520, 13482, 100, 1467, 41, 32, 2.21, 0
109, 183, 5550, 13556, 100, 1467, 41, 32, 2.34, 0
110, 184, 5580, 13629, 99, 1467, 41, 32, 2.35, 0
111, 185, 5610, 13691, 100, 1467, 41, 32, 2.28, 0
111, 186, 5640, 13749, 100, 1467, 41, 32, 2.17, 0
112, 187, 5670, 13833, 99, 1467, 41, 32, 2.31, 0
112, 188, 5700, 13905, 99, 1467, 41, 32, 2.29, 0
113, 189, 5730, 13997, 99, 1467, 41, 32, 2.69, 0
113, 190, 5760, 14068, 99, 1467, 41, 32, 2.59, 0
114, 191, 5790, 14137, 99, 1467, 41, 32, 2.68, 0
114, 192, 5820, 14204, 99, 1467, 41, 32, 2.48, 0
115, 193, 5850, 14253, 99, 1467, 41, 32, 2.14, 0
115, 194, 5880, 14324, 99, 1467, 41, 32, 2.12, 0
116, 195, 5910, 14378, 99, 1472, 42, 32, 1.96, 0
116, 196, 5940, 14444, 99, 1472, 42, 32, 2.08, 0
117, 197, 5970, 14507, 99, 1472, 42, 32, 2.13, 0
117, 198, 6000, 14563, 99, 1472, 42, 32, 2.06, 0
118, 199, 6030, 14632, 99, 1472, 42, 32, 2.13, 0
118, 200, 6060, 14695, 99, 1473, 42, 32, 2.1, 0
119, 201, 6090, 14761, 99, 1473, 42, 32, 2.17, 0
