time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
0, 0, 2, 2, 100, 30, 0, 3, 1.0, 0
0, 1, 4, 4, 100, 76, 0, 8, 1.0, 0
0, 2, 6, 6, 100, 117, 0, 14, 1.0, 0
0, 3, 8, 8, 87, 180, 0, 19, 1.0, 0
0, 4, 10, 10, 90, 194, 0, 20, 1.0, 0
0, 5, 12, 12, 91, 228, 0, 25, 1.0, 0
0, 6, 14, 14, 92, 249, 0, 28, 1.0, 0
0, 7, 16, 16, 93, 342, 0, 36, 1.0, 0
0, 8, 18, 18, 94, 404, 0, 43, 1.0, 0
0, 9, 20, 20, 95, 431, 0, 46, 1.0, 0
0, 10, 22, 22, 95, 490, 0, 51, 1.0, 0
0, 11, 23, 23, 91, 490, 0, 51, 1.0, 0
0, 12, 24, 24, 87, 490, 0, 51, 1.0, 0
0, 13, 26, 44, 100, 497, 0, 52, 1.6923076923076923, 0
0, 14, 28, 46, 100, 497, 0, 52, 1.6428571428571428, 0
0, 15, 30, 48, 100, 497, 0, 52, 1.6, 0
0, 16, 32, 59, 83, 497, 0, 52, 1.84375, 0
0, 17, 34, 61, 98, 497, 0, 52, 1.7941176470588236, 0
0, 18, 35, 62, 100, 498, 0, 52, 1.7714285714285714, 0
0, 19, 36, 63, 100, 498, 0, 52, 1.75, 0
0, 20, 37, 64, 100, 498, 0, 52, 1.7297297297297298, 0
0, 21, 38, 65, 98, 498, 0, 52, 1.7105263157894737, 0
0, 22, 39, 66, 100, 498, 0, 52, 1.6923076923076923, 0
0, 23, 41, 71, 98, 498, 0, 52, 1.7317073170731707, 0
0, 24, 42, 72, 97, 498, 0, 52, 1.7142857142857142, 0
0, 25, 44, 77, 98, 507, 0, 52, 1.75, 0
0, 26, 46, 79, 98, 507, 0, 52, 1.7173913043478262, 0
0, 27, 48, 85, 98, 507, 0, 52, 1.7708333333333333, 0
0, 28, 50, 91, 100, 507, 0, 52, 1.82, 0
0, 29, 51, 96, 100, 507, 0, 52, 1.8823529411764706, 0
0, 30, 52, 101, 100, 507, 0, 52, 1.9423076923076923, 0
0, 31, 54, 103, 100, 507, 0, 52, 1.9074074074074074, 0
0, 32, 55, 107, 96, 507, 0, 52, 1.9454545454545455, 0
0, 33, 57, 113, 100, 507, 0, 52, 1.9824561403508771, 0
0, 34, 58, 118, 100, 507, 0, 52, 2.0344827586206895, 0
0, 35, 60, 123, 96, 507, 0, 52, 2.05, 0
0, 36, 61, 124, 95, 507, 0, 52, 2.0327868852459017, 0
0, 37, 62, 128, 92, 507, 0, 52, 2.064516129032258, 0
0, 38, 63, 133, 89, 507, 0, 52, 2.111111111111111, 0
0, 39, 65, 136, 99, 507, 0, 52, 2.0923076923076924, 0
0, 40, 66, 137, 100, 507, 0, 52, 2.0757575757575757, 0
0, 41, 67, 138, 99, 507, 0, 52, 2.0597014925373136, 0
0, 42, 69, 151, 96, 507, 0, 52, 2.1884057971014492, 0
0, 43, 71, 153, 100, 507, 0, 52, 2.1549295774647885, 0
0, 44, 73, 160, 96, 507, 0, 52, 2.191780821917808, 0
1, 45, 75, 176, 100, 507, 0, 52, 2.3466666666666667, 0
1, 46, 76, 177, 100, 507, 0, 52, 2.3289473684210527, 0
1, 47, 77, 185, 100, 507, 0, 52, 2.4025974025974026, 0
1, 48, 78, 190, 100, 507, 0, 52, 2.4358974358974357, 0
1, 49, 79, 195, 100, 507, 0, 52, 2.4683544303797467, 0
1, 50, 80, 199, 97, 507, 0, 52, 2.4875, 0
1, 51, 81, 207, 94, 507, 0, 52, 2.5555555555555554, 0
1, 52, 83, 213, 100, 507, 0, 52, 2.566265060240964, 0
1, 53, 84, 219, 100, 507, 0, 52, 2.607142857142857, 0
1, 54, 86, 225, 100, 507, 0, 52, 2.616279069767442, 0
1, 55, 88, 227, 99, 507, 0, 52, 2.5795454545454546, 0
1, 56, 89, 233, 96, 507, 0, 52, 2.6179775280898876, 0
1, 57, 90, 239, 100, 507, 0, 52, 2.6555555555555554, 0
1, 58, 92, 255, 100, 507, 0, 52, 2.7717391304347827, 0
1, 59, 94, 262, 97, 507, 0, 52, 2.7872340425531914, 0
1, 60, 96, 277, 100, 508, 0, 52, 2.8854166666666665, 0
1, 61, 98, 286, 99, 508, 0, 52, 2.9183673469387754, 0
1, 62, 100, 304, 100, 510, 0, 53, 3.04, 0
1, 63, 101, 312, 97, 510, 0, 53, 3.11, 0
1, 64, 102, 313, 97, 510, 0, 53, 3.11, 0
1, 65, 104, 321, 100, 510, 0, 53, 3.17, 0
1, 66, 106, 331, 100, 510, 0, 53, 3.25, 0
1, 67, 107, 339, 100, 511, 0, 53, 3.32, 0
1, 68, 108, 340, 99, 511, 0, 53, 3.32, 0
1, 69, 109, 348, 100, 511, 0, 53, 3.39, 0
1, 70, 110, 355, 98, 511, 0, 53, 3.45, 0
1, 71, 111, 364, 100, 511, 0, 53, 3.53, 0
1, 72, 113, 381, 100, 511, 0, 53, 3.68, 0
1, 73, 114, 390, 97, 511, 0, 53, 3.76, 0
1, 74, 115, 391, 97, 511, 0, 53, 3.76, 0
1, 75, 117, 393, 100, 511, 0, 53, 3.76, 0
1, 76, 118, 394, 99, 511, 0, 53, 3.76, 0
1, 77, 120, 398, 99, 511, 0, 53, 3.78, 0
1, 78, 121, 399, 99, 511, 0, 53, 3.78, 0
1, 79, 122, 400, 99, 511, 0, 53, 3.78, 0
1, 80, 123, 401, 99, 511, 0, 53, 3.78, 0
1, 81, 124, 402, 98, 511, 0, 53, 3.78, 0
1, 82, 125, 410, 100, 511, 0, 53, 3.76, 0
1, 83, 126, 411, 99, 511, 0, 53, 3.67, 0
1, 84, 128, 428, 100, 511, 0, 53, 3.82, 0
1, 85, 129, 437, 97, 511, 0, 53, 3.9, 0
