time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 102, 381, 100, 540, 0, 55, 3.79, 0
1, 1, 154, 622, 100, 541, 0, 55, 4.69, 0
2, 2, 206, 882, 100, 546, 0, 56, 4.86, 0
2, 3, 258, 1135, 100, 547, 0, 56, 4.87, 0
3, 4, 310, 1350, 99, 547, 0, 56, 4.49, 0
3, 5, 362, 1606, 100, 547, 0, 56, 4.53, 0
4, 6, 414, 1873, 100, 549, 0, 56, 5.05, 0
4, 7, 466, 2155, 100, 549, 0, 56, 5.35, 0
4, 8, 518, 2393, 100, 549, 0, 56, 4.9, 0
5, 9, 570, 2653, 100, 549, 0, 56, 4.63, 0
5, 10, 622, 2926, 99, 549, 0, 56, 5.12, 0
5, 11, 674, 3229, 99, 550, 0, 56, 5.48, 0
6, 12, 726, 3510, 99, 550, 0, 56, 5.51, 0
6, 13, 778, 3784, 100, 550, 0, 56, 5.36, 0
7, 14, 830, 4121, 99, 550, 0, 56, 5.95, 0
7, 15, 882, 4434, 99, 550, 0, 56, 6.28, 0
7, 16, 934, 4692, 99, 550, 0, 56, 5.49, 0
8, 17, 986, 4959, 100, 550, 0, 56, 5.07, 0
8, 18, 1038, 5217, 100, 551, 0, 56, 5.05, 0
8, 19, 1090, 5485, 100, 553, 0, 57, 5.11, 0
9, 20, 1142, 5767, 100, 553, 0, 57, 5.3, 0
9, 21, 1194, 6034, 99, 553, 0, 57, 5.42, 0
9, 22, 1246, 6329, 99, 553, 0, 57, 5.47, 0
10, 23, 1298, 6618, 99, 553, 0, 57, 5.49, 0
10, 24, 1350, 6870, 99, 553, 0, 57, 5.17, 0
11, 25, 1402, 7126, 99, 553, 0, 57, 4.97, 0
11, 26, 1454, 7360, 100, 553, 0, 57, 4.82, 0
11, 27, 1506, 7605, 99, 553, 0, 57, 4.63, 0
12, 28, 1558, 7869, 99, 555, 0, 57, 4.86, 0
12, 29, 1610, 8094, 99, 556, 0, 57, 4.74, 0
12, 30, 1662, 8353, 99, 558, 0, 57, 4.71, 0
12, 31, 1714, 8631, 99, 558, 0, 57, 5.24, 0
13, 32, 1766, 8851, 99, 558, 0, 57, 4.72, 0
13, 33, 1818, 9069, 99, 560, 0, 58, 4.23, 0
13, 34, 1870, 9278, 99, 562, 0, 58, 4.07, 0
14, 35, 1922, 9525, 99, 564, 0, 58, 4.36, 0
14, 36, 1974, 9775, 99, 566, 0, 59, 4.84, 0
14, 37, 2026, 9996, 99, 566, 0, 59, 4.51, 0
14, 38, 2078, 10234, 99, 566, 0, 59, 4.32, 0
15, 39, 2130, 10446, 99, 566, 0, 59, 4.29, 0
15, 40, 2182, 10647, 99, 583, 0, 60, 3.99, 0
15, 41, 2234, 10867, 99, 583, 0, 60, 3.99, 0
16, 42, 2286, 11087, 99, 583, 0, 60, 4.25, 0
16, 43, 2338, 11279, 99, 585, 0, 60, 3.99, 0
16, 44, 2390, 11527, 99, 620, 0, 63, 4.2, 0
16, 45, 2442, 11787, 99, 620, 0, 63, 4.96, 0
17, 46, 2494, 12037, 99, 620, 0, 63, 4.89, 0
17, 47, 2546, 12246, 99, 620, 0, 63, 4.45, 0
17, 48, 2598, 12479, 99, 620, 0, 63, 4.31, 0
18, 49, 2650, 12704, 99, 620, 0, 63, 4.39, 0
18, 50, 2702, 12931, 99, 645, 0, 65, 4.23, 0
18, 51, 2754, 13160, 99, 645, 0, 65, 4.34, 0
18, 52, 2806, 13387, 99, 645, 0, 65, 4.32, 0
19, 53, 2858, 13621, 99, 645, 0, 65, 4.55, 0
19, 54, 2910, 13840, 99, 645, 0, 65, 4.32, 0
20, 55, 2962, 14058, 99, 645, 0, 65, 4.24, 0
20, 56, 3014, 14300, 99, 645, 0, 65, 4.41, 0
20, 57, 3066, 14495, 100, 645, 0, 65, 4.24, 0
20, 58, 3118, 14700, 100, 652, 0, 66, 3.82, 0
21, 59, 3170, 14884, 99, 656, 0, 66, 3.74, 0
21, 60, 3222, 15077, 100, 656, 0, 66, 3.61, 0
21, 61, 3274, 15275, 99, 656, 0, 66, 3.78, 0
21, 62, 3326, 15470, 99, 656, 0, 66, 3.79, 0
22, 63, 3378, 15656, 99, 656, 0, 66, 3.69, 0
22, 64, 3430, 15851, 99, 662, 0, 67, 3.66, 0
22, 65, 3482, 16081, 99, 662, 0, 67, 4.14, 0
22, 66, 3534, 16325, 99, 662, 0, 67, 4.52, 0
22, 67, 3586, 16533, 99, 662, 0, 67, 4.29, 0
23, 68, 3638, 16733, 99, 663, 0, 67, 3.98, 0
23, 69, 3690, 16935, 99, 663, 0, 67, 3.87, 0
23, 70, 3742, 17135, 99, 663, 0, 67, 3.91, 0
23, 71, 3794, 17321, 99, 663, 0, 67, 3.73, 0
24, 72, 3846, 17537, 99, 663, 0, 67, 3.89, 0
24, 73, 3898, 17739, 99, 663, 0, 67, 3.94, 0
24, 74, 3950, 17922, 99, 663, 0, 67, 3.64, 0
24, 75, 4002, 18106, 99, 663, 0, 67, 3.49, 0
25, 76, 4054, 18278, 99, 663, 0, 67, 3.36, 0
25, 77, 4106, 18452, 99, 663, 0, 67, 3.37, 0
25, 78, 4158, 18618, 99, 663, 0, 67, 3.24, 0
25, 79, 4210, 18787, 99, 663, 0, 67, 3.21, 0
25, 80, 4262, 18967, 99, 663, 0, 67, 3.35, 0
25, 81, 4314, 19129, 99, 663, 0, 67, 3.31, 0
26, 82, 4366, 19296, 99, 663, 0, 67, 3.15, 0
26, 83, 4418, 19469, 99, 663, 0, 67, 3.27, 0
26, 84, 4470, 19638, 99, 663, 0, 67, 3.32, 0
26, 85, 4522, 19808, 99, 664, 0, 67, 3.25, 0
26, 86, 4574, 19974, 99, 664, 0, 67, 3.23, 0
27, 87, 4626, 20151, 99, 664, 0, 67, 3.32, 0
27, 88, 4678, 20311, 99, 664, 0, 67, 3.23, 0
27, 89, 4730, 20459, 99, 664, 0, 67, 2.92, 0
27, 90, 4782, 20627, 99, 664, 0, 67, 3.06, 0
27, 91, 4834, 20790, 99, 664, 0, 67, 3.16, 0
28, 92, 4886, 20935, 99, 664, 0, 67, 2.99, 0
28, 93, 4938, 21096, 99, 664, 0, 67, 2.95, 0
28, 94, 4990, 21240, 99, 664, 0, 67, 2.93, 0
28, 95, 5042, 21406, 99, 664, 0, 67, 2.97, 0
28, 96, 5094, 21553, 99, 664, 0, 67, 3.0, 0
29, 97, 5146, 21705, 99, 665, 0, 67, 2.89, 0
29, 98, 5198, 21878, 99, 665, 0, 67, 3.16, 0
29, 99, 5250, 22038, 99, 667, 0, 67, 3.22, 0
29, 100, 5302, 22186, 99, 667, 0, 67, 2.94, 0
29, 101, 5354, 22361, 99, 669, 0, 67, 3.11, 0
30, 102, 5406, 22528, 99, 669, 0, 67, 3.26, 0
30, 103, 5458, 22692, 99, 671, 0, 68, 3.17, 0
30, 104, 5510, 22842, 99, 671, 0, 68, 3.02, 0
30, 105, 5562, 22995, 99, 671, 0, 68, 2.92, 0
30, 106, 5614, 23155, 99, 671, 0, 68, 3.04, 0
31, 107, 5666, 23333, 99, 671, 0, 68, 3.28, 0
31, 108, 5718, 23481, 99, 672, 0, 68, 3.1, 0
31, 109, 5770, 23638, 99, 674, 0, 68, 2.95, 0
31, 110, 5822, 23793, 99, 677, 0, 68, 3.03, 0
31, 111, 5874, 23974, 99, 677, 0, 68, 3.26, 0
32, 112, 5926, 24148, 99, 677, 0, 68, 3.36, 0
32, 113, 5978, 24308, 99, 680, 0, 68, 3.17, 0
32, 114, 6030, 24487, 99, 680, 0, 68, 3.26, 0
32, 115, 6082, 24634, 99, 681, 0, 68, 3.1, 0
32, 116, 6134, 24789, 99, 681, 0, 68, 2.84, 0
33, 117, 6186, 24942, 99, 684, 0, 68, 2.98, 0
33, 118, 6238, 25105, 99, 686, 0, 69, 3.06, 0
33, 119, 6290, 25268, 99, 686, 0, 69, 3.14, 0
33, 120, 6342, 25430, 99, 688, 0, 69, 3.12, 0
34, 121, 6394, 25603, 99, 688, 0, 69, 3.21, 0
34, 122, 6446, 25758, 99, 690, 0, 69, 3.19, 0
34, 123, 6498, 25896, 99, 690, 0, 69, 2.83, 0
34, 124, 6550, 26057, 99, 692, 0, 70, 2.89, 0
34, 125, 6602, 26215, 99, 692, 0, 70, 3.05, 0
35, 126, 6654, 26373, 99, 692, 0, 70, 3.04, 0
35, 127, 6706, 26521, 99, 692, 0, 70, 2.95, 0
35, 128, 6758, 26676, 99, 692, 0, 70, 2.9, 0
35, 129, 6810, 26817, 99, 697, 0, 70, 2.79, 0
35, 130, 6862, 26961, 99, 697, 0, 70, 2.75, 0
36, 131, 6914, 27115, 99, 697, 0, 70, 2.86, 0
36, 132, 6966, 27258, 99, 697, 0, 70, 2.81, 0
36, 133, 7018, 27388, 99, 697, 0, 70, 2.59, 0
36, 134, 7070, 27542, 99, 697, 0, 70, 2.72, 0
37, 135, 7122, 27681, 99, 697, 0, 70, 2.82, 0
37, 136, 7174, 27824, 99, 697, 0, 70, 2.69, 0
37, 137, 7226, 27983, 99, 697, 0, 70, 2.91, 0
37, 138, 7278, 28123, 99, 697, 0, 70, 2.88, 0
38, 139, 7330, 28278, 99, 697, 0, 70, 2.87, 0
38, 140, 7382, 28429, 99, 697, 0, 70, 2.93, 0
38, 141, 7434, 28581, 99, 697, 0, 70, 2.88, 0
