time, generation, evaluatedTests, evaluatedActions, neededBudget, coveredTargets, faults, lines, avgActionsPerTest, percentImprovedThroughtCrossover
1, 0, 60, 348, 100, 520, 0, 54, 5.8, 0
1, 1, 90, 573, 100, 520, 0, 54, 6.366666666666666, 0
2, 2, 120, 785, 100, 520, 0, 54, 7.1, 0
2, 3, 150, 997, 100, 520, 0, 54, 7.28, 0
2, 4, 180, 1191, 100, 520, 0, 54, 6.95, 0
3, 5, 210, 1358, 100, 521, 0, 54, 6.44, 0
3, 6, 240, 1512, 100, 526, 0, 54, 5.86, 0
3, 7, 270, 1640, 100, 526, 0, 54, 5.16, 0
3, 8, 300, 1825, 100, 526, 0, 54, 5.3, 0
3, 9, 330, 2006, 100, 526, 0, 54, 5.39, 0
3, 10, 360, 2162, 100, 529, 0, 54, 5.67, 0
4, 11, 390, 2375, 100, 533, 0, 55, 5.89, 0
4, 12, 420, 2565, 100, 533, 0, 55, 6.03, 0
4, 13, 450, 2769, 100, 535, 0, 55, 6.43, 0
4, 14, 480, 2962, 100, 537, 0, 56, 6.7, 0
4, 15, 510, 3173, 100, 546, 0, 56, 6.65, 0
5, 16, 540, 3397, 100, 548, 0, 57, 6.87, 0
5, 17, 570, 3610, 100, 548, 0, 57, 7.01, 0
5, 18, 600, 3801, 100, 548, 0, 57, 6.97, 0
5, 19, 630, 3960, 100, 550, 0, 57, 6.29, 0
5, 20, 660, 4149, 100, 553, 0, 57, 6.13, 0
6, 21, 690, 4330, 100, 553, 0, 57, 5.96, 0
6, 22, 720, 4513, 100, 559, 0, 58, 5.99, 0
6, 23, 750, 4693, 100, 563, 0, 58, 6.03, 0
6, 24, 780, 4839, 100, 565, 0, 59, 5.6, 0
6, 25, 810, 4965, 100, 565, 0, 59, 5.18, 0
6, 26, 840, 5105, 99, 566, 0, 59, 4.69, 0
7, 27, 870, 5219, 100, 566, 0, 59, 4.2, 0
7, 28, 900, 5332, 99, 566, 0, 59, 4.1, 0
7, 29, 930, 5455, 100, 566, 0, 59, 3.98, 0
7, 30, 960, 5539, 100, 567, 0, 59, 3.6, 0
7, 31, 990, 5662, 100, 567, 0, 59, 3.75, 0
7, 32, 1020, 5780, 100, 567, 0, 59, 3.6, 0
7, 33, 1050, 5899, 100, 567, 0, 59, 3.81, 0
8, 34, 1080, 5991, 100, 570, 0, 59, 3.64, 0
8, 35, 1110, 6086, 99, 572, 0, 59, 3.6, 0
8, 36, 1140, 6183, 100, 572, 0, 59, 3.37, 0
8, 37, 1170, 6270, 100, 572, 0, 59, 3.03, 0
8, 38, 1200, 6398, 100, 573, 0, 59, 3.53, 0
8, 39, 1230, 6522, 99, 573, 0, 59, 3.71, 0
8, 40, 1260, 6605, 100, 575, 0, 59, 3.67, 0
8, 41, 1290, 6733, 100, 583, 0, 60, 3.72, 0
9, 42, 1320, 6830, 100, 583, 0, 60, 3.65, 0
9, 43, 1350, 6921, 99, 583, 0, 60, 3.44, 0
9, 44, 1380, 6995, 100, 583, 0, 60, 3.03, 0
9, 45, 1410, 7060, 100, 583, 0, 60, 2.55, 0
9, 46, 1440, 7137, 100, 583, 0, 60, 2.48, 0
9, 47, 1470, 7227, 99, 583, 0, 60, 2.6, 0
9, 48, 1500, 7304, 100, 583, 0, 60, 2.71, 0
9, 49, 1530, 7376, 100, 585, 0, 60, 2.67, 0
